,NatGasFut1
02-01-2014,4.321
03-01-2014,4.304
06-01-2014,4.306
07-01-2014,4.299
08-01-2014,4.216
09-01-2014,4.005
10-01-2014,4.053
13-01-2014,4.274
14-01-2014,4.369
15-01-2014,4.325
16-01-2014,4.382
17-01-2014,4.326
20-01-2014,4.326
21-01-2014,4.431
22-01-2014,4.689
23-01-2014,4.73
24-01-2014,5.182
27-01-2014,4.847
28-01-2014,5.033
29-01-2014,5.557
30-01-2014,5.011
31-01-2014,4.943
03-02-2014,4.905
04-02-2014,5.375
05-02-2014,5.03
06-02-2014,4.931
07-02-2014,4.775
10-02-2014,4.579
11-02-2014,4.824
12-02-2014,4.822
13-02-2014,5.223
14-02-2014,5.214
17-02-2014,5.214
18-02-2014,5.551
19-02-2014,6.149
20-02-2014,6.064
21-02-2014,6.135
24-02-2014,5.445
25-02-2014,5.096
26-02-2014,4.855
27-02-2014,4.511
28-02-2014,4.609
03-03-2014,4.492
04-03-2014,4.667
05-03-2014,4.523
06-03-2014,4.662
07-03-2014,4.618
10-03-2014,4.651
11-03-2014,4.605
12-03-2014,4.49
13-03-2014,4.383
14-03-2014,4.425
17-03-2014,4.536
18-03-2014,4.456
19-03-2014,4.484
20-03-2014,4.369
21-03-2014,4.313
24-03-2014,4.276
25-03-2014,4.411
26-03-2014,4.402
27-03-2014,4.584
28-03-2014,4.485
31-03-2014,4.371
01-04-2014,4.276
02-04-2014,4.364
03-04-2014,4.47
04-04-2014,4.439
07-04-2014,4.476
08-04-2014,4.534
09-04-2014,4.586
10-04-2014,4.655
11-04-2014,4.62
14-04-2014,4.56
15-04-2014,4.567
16-04-2014,4.53
17-04-2014,4.741
21-04-2014,4.697
22-04-2014,4.739
23-04-2014,4.73
24-04-2014,4.705
25-04-2014,4.647
28-04-2014,4.795
29-04-2014,4.831
30-04-2014,4.815
01-05-2014,4.719
02-05-2014,4.674
05-05-2014,4.688
06-05-2014,4.799
07-05-2014,4.74
08-05-2014,4.572
09-05-2014,4.531
12-05-2014,4.434
13-05-2014,4.358
14-05-2014,4.367
15-05-2014,4.469
16-05-2014,4.413
19-05-2014,4.47
20-05-2014,4.552
21-05-2014,4.473
22-05-2014,4.359
23-05-2014,4.405
27-05-2014,4.505
28-05-2014,4.619
29-05-2014,4.559
30-05-2014,4.542
02-06-2014,4.612
03-06-2014,4.629
04-06-2014,4.64
05-06-2014,4.701
06-06-2014,4.71
09-06-2014,4.645
10-06-2014,4.53
11-06-2014,4.508
12-06-2014,4.762
13-06-2014,4.739
16-06-2014,4.707
17-06-2014,4.709
18-06-2014,4.659
20-06-2014,4.531
23-06-2014,4.446
24-06-2014,4.535
25-06-2014,4.553
26-06-2014,4.4
27-06-2014,4.409
30-06-2014,4.461
01-07-2014,4.455
02-07-2014,4.357
03-07-2014,4.406
07-07-2014,4.225
08-07-2014,4.204
09-07-2014,4.17
10-07-2014,4.12
11-07-2014,4.146
14-07-2014,4.147
15-07-2014,4.097
16-07-2014,4.119
17-07-2014,3.954
18-07-2014,3.951
21-07-2014,3.849
22-07-2014,3.772
23-07-2014,3.762
24-07-2014,3.847
25-07-2014,3.781
28-07-2014,3.747
29-07-2014,3.808
30-07-2014,3.786
31-07-2014,3.841
01-08-2014,3.798
04-08-2014,3.834
05-08-2014,3.897
06-08-2014,3.933
07-08-2014,3.876
08-08-2014,3.962
11-08-2014,3.965
12-08-2014,3.974
13-08-2014,3.831
14-08-2014,3.906
15-08-2014,3.776
18-08-2014,3.792
19-08-2014,3.877
20-08-2014,3.823
21-08-2014,3.889
22-08-2014,3.84
25-08-2014,3.937
26-08-2014,3.911
27-08-2014,3.957
28-08-2014,4.044
29-08-2014,4.065
02-09-2014,3.89
03-09-2014,3.847
04-09-2014,3.819
05-09-2014,3.793
08-09-2014,3.876
09-09-2014,3.984
10-09-2014,3.954
11-09-2014,3.823
12-09-2014,3.857
15-09-2014,3.931
16-09-2014,3.995
17-09-2014,4.013
18-09-2014,3.91
19-09-2014,3.837
22-09-2014,3.85
23-09-2014,3.816
24-09-2014,3.911
25-09-2014,3.971
26-09-2014,3.984
29-09-2014,4.154
30-09-2014,4.121
03-10-2014,4.039
06-10-2014,3.898
07-10-2014,3.957
08-10-2014,3.855
09-10-2014,3.845
10-10-2014,3.859
13-10-2014,3.916
14-10-2014,3.816
15-10-2014,3.8
16-10-2014,3.796
17-10-2014,3.766
20-10-2014,3.67
21-10-2014,3.711
22-10-2014,3.659
23-10-2014,3.622
24-10-2014,3.623
27-10-2014,3.561
28-10-2014,3.649
29-10-2014,3.728
30-10-2014,3.827
31-10-2014,3.873
03-11-2014,4.046
04-11-2014,4.129
05-11-2014,4.194
06-11-2014,4.404
07-11-2014,4.412
10-11-2014,4.255
11-11-2014,4.247
12-11-2014,4.185
