Net generation for electric utility monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvg&geo=g&sec=8&linechart=ELEC.GEN.ALL-US-1.M~ELEC.GEN.COW-US-1.M~ELEC.GEN.NG-US-1.M~ELEC.GEN.NUC-US-1.M~ELEC.GEN.HYC-US-1.M~ELEC.GEN.PEL-US-1.M~ELEC.GEN.PC-US-1.M~ELEC.GEN.OOG-US-1.M~ELEC.GEN.AOR-US-1.M~ELEC.GEN.HPS-US-1.M~ELEC.GEN.OTH-US-1.M&columnchart=ELEC.GEN.ALL-US-1.M~ELEC.GEN.COW-US-1.M~ELEC.GEN.NG-US-1.M~ELEC.GEN.NUC-US-1.M~ELEC.GEN.HYC-US-1.M&map=ELEC.GEN.ALL-US-1.M&freq=M&start=200101&end=201708&ctype=linechart&ltype=pin&rtype=s&maptype=0&pin=&rse=0
20:28:50 GMT-0800 (Pacific Standard Time)
Data source: U.S. Energy Information Administration
Month,United States : all fuels (utility-scale) thousand megawatthours,United States : coal thousand megawatthours,United States : natural gas thousand megawatthours,United States : nuclear thousand megawatthours,United States : conventional hydroelectric thousand megawatthours,United States : petroleum liquids thousand megawatthours,United States : petroleum coke thousand megawatthours,United States : other gases thousand megawatthours,United States : other renewables thousand megawatthours,United States : hydro-electric pumped storage thousand megawatthours,United States : other thousand megawatthours
Aug 2017,220338.82655,90961.38298,67700.84453,38667.46,19635.64218,703.03602,540.30056,,2610.15666,-530.789,46.43384
Jul 2017,232899.15073,97317.49732,69853.54155,37873.727,24158.05384,662.92308,673.28869,18.8521,2943.62454,-645.655,43.29762
Jun 2017,205646.34374,81811.66669,55625.44575,35022.443,28532.04567,704.55125,698.39637,10.47895,3677.3141,-474.456,38.45797
May 2017,183696.87213,69480.96281,47829.21515,31728.201,29727.26476,719.68634,654.47409,5.47038,3866.36755,-349.911,35.14105
Apr 2017,164005.31885,59422.86512,42418.84478,30217.056,26997.72798,669.74649,259.99677,17.78757,4313.9285,-366.412,53.77763
Mar 2017,179355.23418,66355.85934,44999.81731,34693.273,27998.20637,761.19048,535.30375,19.97716,4390.24219,-450.133,51.49758
Feb 2017,164263.886,65270.94635,37366.70829,34403.057,22749.40743,659.63704,539.69853,21.55848,3620.91842,-413.831,45.78546
Jan 2017,198747.50549,86162.58577,44026.34574,38425.164,25617.57626,839.17575,742.69897,16.06038,3196.88842,-328.424,49.4342
Dec 2016,196879.48802,87463.40439,45795.51497,37268.111,20976.12969,755.46192,666.9821,22.84055,4564.30314,-657.337,24.07725
Nov 2016,164017.99663,64945.65757,43678.24782,33081.516,17741.02092,672.81185,596.13954,22.16085,3777.98535,-522.007,24.46374
Oct 2016,170991.76721,73088.50813,47523.10275,30016.354,16101.1517,633.48824,417.99184,6.20907,3651.41499,-471.041,24.5875
Sep 2016,195257.8448,83379.97929,58470.44546,33919.49,15221.76797,620.15598,807.11979,24.35285,3418.62195,-626.482,22.3935
Aug 2016,232882.5981,100318.81132,72932.06054,37927.387,18053.80427,888.1292,856.45614,15.09481,2656.04485,-787.128,21.93797
Jul 2016,235519.67526,101023.45266,72499.6785,37919,19901.22135,902.8875,833.37275,23.23452,3071.15166,-677.73,23.40632
Jun 2016,213605.9029,86713.40712,64042.93592,37000.35,21476.74622,686.78892,792.58148,17.21003,3256.77916,-409.268,28.37204
May 2016,179640.58257,62121.60171,52959.64383,36530.772,23512.04401,654.21159,762.71727,,3318.19689,-257.105,27.14317
Apr 2016,162944.21723,53476.92747,46626.58009,34036.16,23632.53711,568.06762,858.41367,8.35873,4076.93987,-367.495,27.72768
Mar 2016,170992.98223,56900.67292,49808.63418,34445.134,24916.06214,584.15779,723.68574,6.10255,3865.72843,-291.37,34.17448
Feb 2016,178651.89516,69802.72627,47641.89055,34280.965,21931.42552,778.71237,733.98199,4.24372,3783.93779,-332.4,26.41197
Jan 2016,202695.90699,84064.03349,52497.06281,37974.262,23185.26722,925.7032,831.57565,,3417.74081,-230.065,27.13669
Dec 2015,182964.91614,68558.36719,52345.43352,35996.547,21295.64216,649.6348,604.19526,1.37199,3674.83529,-209.687,48.57594
Nov 2015,165247.3619,64190.75557,47590.44836,30751.233,17901.41353,717.73733,489.87685,1.1476,3775.51011,-218.459,47.69856
Oct 2015,172560.93121,71408.14648,49532.93359,31885.573,15377.75839,682.26917,609.58672,12.13639,3374.81053,-364.178,41.89496
Sep 2015,196272.84957,85931.72507,56266.38024,35034.023,15061.52892,689.71165,796.63093,20.05489,2901.42854,-477.262,48.62832
Aug 2015,223695.91267,100129.43283,63375.67104,38482.309,17813.13208,794.23741,827.18494,20.53883,2712.86811,-512.777,53.31542
Jul 2015,229211.99706,104128.48089,64971.29394,37055.288,19004.07373,833.80161,897.79791,15.10179,2669.35838,-412.579,49.37982
Jun 2015,208270.48246,93799.42019,57291.77803,35149.784,18429.44333,765.2757,603.83266,16.96016,2464.34442,-299.861,49.50495
May 2015,184165.46992,79341.48454,46881.65201,35089.35,18480.70378,701.23976,690.54069,20.13675,3198.55033,-292.134,53.94606
Apr 2015,165379.4885,66627.85221,43065.45941,31052.696,20155.5514,695.42211,565.39751,20.43006,3301.88548,-152.544,47.33833
Mar 2015,184609.38644,78606.40395,45971.87407,33328.379,22522.54723,695.77827,501.52285,21.1125,3249.45411,-319.184,31.49845
Feb 2015,194871.00194,90827.64219,43950.87686,33477.825,21075.05595,2013.92381,879.33145,23.90581,2964.49083,-386.784,44.73404
Jan 2015,208072.79636,94835.3898,46573.10162,39376.534,22523.06929,1146.78639,812.59188,25.81763,3197.95859,-459.524,41.07118
Dec 2014,196279.07898,93286.51872,40114.43149,38427.502,20414.52213,666.47003,887.45977,14.88878,2820.48807,-408.955,55.75301
Nov 2014,180869.1556,87064.18013,37476.68479,34551.59,17368.73729,643.16402,577.18769,9.16153,3563.69222,-440.694,55.45193
Oct 2014,176989.55986,82990.57622,42359.98547,32016.735,15863.03266,651.53502,456.57057,3.68614,2950.32272,-350.65,47.76607
Sep 2014,194389.75709,94481.8531,46260.27571,35296.15,14894.61131,710.90748,749.79298,4.83668,2402.47986,-460.759,49.60897
Aug 2014,225391.61885,112567.6457,54552.54942,37182.392,18250.76601,710.76316,778.06694,6.03545,2023.5293,-739.657,59.52787
Jul 2014,227343.23079,112875.18651,50295.67604,38030.645,22623.51915,710.64934,792.0748,6.55382,2391.78414,-444.602,61.74398
Jun 2014,212310.78248,104522.63929,44314.70194,35898.208,23790.37889,649.96455,893.69873,5.35035,2740.01798,-557.376,53.19877
May 2014,191866.38001,89103.0975,41226.19064,33760.245,23932.91702,709.3714,833.15505,11.82914,2746.0724,-505.851,49.35286
Apr 2014,170329.31189,77724.44741,34890.00323,30312.158,22977.22299,710.58336,571.6428,20.04971,3372.48575,-301.263,51.98165
Mar 2014,193193.78368,97956.99357,35115.67592,32611.746,22423.47039,1036.57515,952.7616,8.59593,3386.51346,-355.192,56.64367
Feb 2014,191345.39836,104637.73522,33600.454,32937.031,15973.02291,1050.9259,706.34031,7.19959,2758.96797,-360.684,34.40547
Jan 2014,222165.43772,115862.08064,41207.70658,38846.949,19673.2006,2444.87982,948.74824,13.43639,3339.53951,-217.836,46.73294
Dec 2013,207836.77324,105558.2333,41610.33766,37412.152,18964.06565,831.87937,743.14808,81.41821,2906.60847,-325.855,54.78551
Nov 2013,181990.65826,92145.98429,36703.48938,32938.764,15974.7555,731.46718,608.6676,77.96775,3084.81664,-331.106,55.85192
Oct 2013,182713.38975,91694.13536,39850.06548,31605.297,15618.68033,698.84372,759.10535,61.45565,2682.03714,-306.848,50.61773
Sep 2013,198718.89987,99056.47501,45844.70716,34458.814,15422.36498,663.55592,904.66907,74.95833,2590.97326,-346.547,48.92914
Aug 2013,229556.76905,113917.00802,55077.02564,37176.888,19864.26151,793.97409,952.14019,75.888,2056.55495,-417.131,60.15966
Jul 2013,232866.8492,114401.59744,52965.67298,36732.539,24705.45404,949.86938,976.35827,65.88311,2244.74901,-237.66,62.38598
Jun 2013,213032.93838,104679.02636,45151.56462,34503.873,24685.64289,751.01544,965.60666,68.23833,2445.55171,-260.808,43.22738
May 2013,190353.70784,90052.6639,36890.87035,32977.201,25923.51016,784.91167,1034.97529,61.28775,2836.22064,-259.69,51.75708
Apr 2013,173761.28284,84352.17161,33545.26269,28990.976,22653.75071,744.33083,574.04087,37.75209,3052.72836,-232.137,42.40669
Mar 2013,189129.2101,97675.08585,37660.56722,31425.84,18349.42652,755.18036,686.61728,58.5449,2846.34914,-381.987,53.58583
Feb 2013,180974.55157,91384.17687,36247.7581,31143.703,18315.51795,723.03218,616.48829,63.17611,2703.9975,-269.923,46.62457
Jan 2013,207123.37936,103535.85603,39879.74273,36748.162,22562.58732,1017.75873,700.29465,71.35606,2966.18908,-403.614,45.04677
Dec 2012,194883.74179,101368.3159,35539.17715,33655.879,20933.14743,755.39377,433.58457,0,2652.65359,-499.049,44.63937
Nov 2012,178834.03171,96094.01515,33438.20281,29038.268,16928.31542,716.93025,454.26773,0,2473.78405,-355.28503,45.53332
Oct 2012,178825.18264,90924.15203,38288.27145,31288.514,14911.79214,787.4917,408.88893,0,2490.53519,-322.82124,48.35844
Sep 2012,191871.22421,94982.51058,44429.86069,33384.454,16308.57329,737.37288,520.257,0,1814.34758,-368.2658,62.11399
Aug 2012,229579.70261,115044.3029,53961.39576,36149.066,21575.38847,906.26087,477.41903,0,1851.02979,-444.5171,59.35689
Jul 2012,242595.86951,121051.31165,57831.8931,35999.438,24766.64033,1132.65206,467.48989,0,1828.06263,-529.9972,48.37905
Jun 2012,210513.69001,100021.87558,48422.76725,34051.869,24539.71,933.98382,472.95705,0.05587,2447.60175,-428.76058,51.63027
May 2012,194592.35856,87924.36954,45632.62605,31384.437,26048.17978,815.63168,380.1412,0.05659,2645.0561,-291.1376,52.99822
Apr 2012,169095.18819,75145.91246,38668.53241,27883.635,24173.68679,766.08531,292.68412,0.05645,2373.76411,-250.14239,40.97394
Mar 2012,175329.75436,80689.185,36916.12728,30600.74,23553.93447,783.60693,255.90266,0.05745,2696.56904,-209.29252,42.92405
Feb 2012,176554.09324,86461.74578,35280.93492,33116.73,18362.77107,698.81854,657.73137,0.05084,2124.07711,-201.68068,52.91429
Jan 2012,196497.55042,96772.72377,36548.44097,38269.688,20834.16858,858.02888,843.04978,0,2619.56824,-301.35086,53.23307
Dec 2011,197305.98145,99640.57022,34185.84763,38951.895,21299.85579,879.40097,666.69738,2.62619,2079.39917,-449.74999,49.43908
Nov 2011,176515.03527,90102.81437,30531.99829,34107.375,18731.93775,822.3104,399.07677,3.78757,2168.42339,-397.73403,45.04576
Oct 2011,181358.85813,94046.45335,33217.62334,33557.909,17509.09457,837.05444,618.30425,1.46321,2041.21783,-516.57802,46.31617
Sep 2011,199143.50603,105126.93,37391.49822,34638.811,19289.3989,819.337,944.71289,1.56382,1382.98012,-500.11279,48.38688
Aug 2011,242539.94496,128914.74289,49617.40489,37435.136,23865.73802,923.76909,907.84966,0.8437,1417.67153,-598.5215,55.31069
Jul 2011,253142.30857,133078.33536,49478.51185,38444.325,29179.91545,1110.1974,983.48223,1.27709,1427.76128,-612.03108,50.53399
Jun 2011,225535.40967,119780.16729,38311.19426,34635.071,29631.35041,976.13176,831.20784,6.34746,1794.89143,-490.6378,59.68602
May 2011,196994.00046,104295.68154,31372.4526,28501.621,29436.1638,1062.07569,655.14336,6.95221,1974.57579,-365.54894,54.88342
Apr 2011,183567.35455,93646.95997,29153.684,28964.026,28280.17926,1177.72074,599.58454,0.68962,2097.74127,-402.93281,49.70196
Mar 2011,195148.41894,102328.486,26611.55044,34200.548,28400.75947,982.10527,921.68187,1.02336,1929.89073,-276.59686,48.97068
Feb 2011,188699.9879,103607.39319,25456.05711,34118.996,22187.22022,887.69901,818.03028,0.92675,1905.23086,-330.87267,49.30714
Jan 2011,220900.19443,126538.79445,29515.15554,37742.496,23601.70754,1210.4638,1082.25147,1.00413,1712.97767,-550.81252,46.15637
Dec 2010,217819.9514,123456.08772,30977.69708,38721.785,20970.45582,1751.96305,729.8342,2.2204,1609.93144,-439.138,39.1147
Nov 2010,179857.90047,99803.47359,27567.44597,32112.279,17612.48133,835.01285,510.7984,1.358,1778.38721,-397.393,34.05712
Oct 2010,178917.0336,97611.59659,31613.0328,31226.018,15718.27629,877.43222,645.22409,1.37245,1542.19723,-360.745,42.62893
Sep 2010,203520.88046,110641.88698,36692.02486,37187.851,15853.78862,1207.31155,803.33012,1.94207,1441.18467,-353.224,44.7846
Aug 2010,240185.47922,132743.12705,47474.27365,38021.189,18465.4639,1784.63875,758.23048,5.12733,1430.96335,-543.482,45.94772
Jul 2010,243755.95493,134218.88875,44597.40454,38536.384,22611.24461,1986.24336,910.3085,4.78796,1331.4255,-474.295,33.56272
Jun 2010,228551.39887,124451.3793,36530.02965,35835.12356,27661.14727,2131.79023,837.16736,5.85125,1449.00716,-391.851,41.7541
May 2010,199835.07694,108550.46996,30548.87044,34505.871,22803.19736,1443.02839,690.29836,6.02533,1602.00553,-356.273,41.58357
Apr 2010,172440.54773,95790.92226,25720.98757,30945.525,16811.56915,923.11397,674.67729,5.14788,1776.97687,-244.616,36.24375
Mar 2010,188490.96607,107625.71991,25682.8553,33460.255,18546.1482,1009.20958,816.063,5.91573,1539.89808,-232.049,36.95027
Feb 2010,195894.97805,113855.91283,25879.53847,34945.069,18752.2265,889.54238,695.62714,6.04995,1087.25964,-245.715,29.46715
Jan 2010,222361.9351,129278.94918,29331.71475,39345.292,20298.1615,2418.4648,735.59846,6.40367,1338.09968,-426.995,36.24607
Dec 2009,213417.26512,124517.36756,26885.35164,37102.504,22349.51484,1033.74543,466.01091,12.14958,1294.12277,-278.608,35.10639
Nov 2009,179276.40795,104002.54738,24403.68575,29344.004,19055.82891,979.18583,294.54414,8.62761,1385.1646,-235.077,37.89672
Oct 2009,184019.36662,105590.07929,27570.32463,30108.581,17915.16149,1454.79503,302.40299,7.46632,1309.32782,-271.252,32.48006
Sep 2009,193720.04655,105887.24157,35179.07606,34002.363,15916.58615,1327.84231,629.18008,10.00906,975.3609,-246.685,39.07242
Aug 2009,222451.92313,123280.49012,40382.2682,38083.792,17473.36979,1811.77179,664.90508,8.78921,1167.44207,-462.866,41.96088
Jul 2009,221545.32766,119896.74447,38571.35174,39075.527,20998.07295,1679.37944,660.98493,9.02086,984.60595,-372.162,41.80233
Jun 2009,213481.66177,113625.28185,33128.63328,36633.353,26687.75641,1672.91817,662.6171,8.2649,1157.4344,-138.998,44.40067
May 2009,189694.77461,99462.48975,26180.90171,33796.347,26842.16074,1634.59409,711.38061,7.77319,1257.54086,-244.516,46.10267
Apr 2009,174129.6031,93785.05998,22948.24033,31063.989,23209.42656,1232.39835,705.69542,6.91276,1303.27708,-172.04,46.64363
Mar 2009,184962.80776,100800.0498,26546.55347,34855.895,19416.44676,1301.94541,796.95186,7.46707,1423.99068,-230.371,43.87872
Feb 2009,179858.72395,104124.18866,23154.57298,33754.446,15938.40244,1428.24562,598.4123,4.2086,1132.89453,-308.082,31.43481
Jan 2009,216218.08868,127120.49508,24215.3483,39454.314,21394.82929,2477.68268,689.2248,5.32954,1226.32198,-407.926,42.46902
