SEGS VIII monthly
https://www.eia.gov/electricity/data/browser/#/plant/10444?freq=M&start=200101&end=201708&ctype=linechart&ltype=pin&maptype=0&pin=&linechart=ELEC.PLANT.GEN.10444-ALL-ALL.M~ELEC.PLANT.GEN.10444-NG-ALL.M~ELEC.PLANT.GEN.10444-SUN-ALL.M~ELEC.PLANT.GEN.10444-NG-ST.M~ELEC.PLANT.GEN.10444-SUN-ST.M~ELEC.PLANT.CONS_TOT.10444-NG-ALL.M~ELEC.PLANT.CONS_TOT.10444-NG-ST.M~ELEC.PLANT.CONS_EG.10444-NG-ALL.M~ELEC.PLANT.CONS_EG.10444-NG-ST.M~ELEC.PLANT.CONS_TOT_BTU.10444-ALL-ALL.M~ELEC.PLANT.AVG_HEAT.10444-NG-ST.M~ELEC.PLANT.CONS_TOT_BTU.10444-NG-ALL.M~ELEC.PLANT.CONS_TOT_BTU.10444-SUN-ALL.M~ELEC.PLANT.CONS_TOT_BTU.10444-NG-ST.M~ELEC.PLANT.CONS_TOT_BTU.10444-SUN-ST.M~ELEC.PLANT.AVG_HEAT.10444-NG-ALL.M~ELEC.PLANT.CONS_EG_BTU.10444-ALL-ALL.M~ELEC.PLANT.CONS_EG_BTU.10444-NG-ALL.M~ELEC.PLANT.CONS_EG_BTU.10444-SUN-ALL.M~ELEC.PLANT.CONS_EG_BTU.10444-NG-ST.M~ELEC.PLANT.CONS_EG_BTU.10444-SUN-ST.M&columnchart=ELEC.PLANT.GEN.10444-ALL-ALL.M
15:56:19 GMT-0800 (Pacific Standard Time)
Data source: U.S. Energy Information Administration
Month,Net generation-all primemovers- (megawatthours) megawatthours,Net generation-steam turbine- (megawatthours) megawatthours,Fuel consumption quantity-all primemovers- (mcf) mcf,Fuel consumption quantity-steam turbine- (mcf) mcf,Electric fuel consumption quantity-all primemovers- (mcf) mcf,Electric fuel consumption quantity-steam turbine- (mcf) mcf,Fuel consumption MMBtus-all primemovers- (MMBtu) MMBtu,MMBtu per unit-steam turbine- (MMBtu per mcf) MMBtu per mcf,Fuel consumption MMBtus-steam turbine- (MMBtu) MMBtu,MMBtu per unit-all primemovers- (MMBtu per mcf) MMBtu per mcf,Electric fuel consumption MMBtus-all primemovers- (MMBtu) MMBtu,Electric fuel consumption MMBtus-steam turbine- (MMBtu) MMBtu
Aug 2017,15582,15582,83045,83045,83045,83045,145209,1.03,145209,1.03,145209,145209
Jul 2017,16290,16290,70824,70824,70824,70824,151807,1.03,151807,1.03,151807,151807
Jun 2017,19978,19978,35212,35212,35212,35212,186175,1.03,186175,1.03,186175,186175
May 2017,14885,14885,2868,2868,2868,2868,138713,1.03,138713,1.03,138713,138713
Apr 2017,13132,13132,0,0,0,0,122377,,122377,,122377,122377
Mar 2017,11275,11275,918,918,918,918,105072,1.03,105072,1.03,105072,105072
Feb 2017,3986,3986,2014,2014,2014,2014,37146,1.03,37146,1.03,37146,37146
Jan 2017,159,159,8301,8301,8301,8301,1482,1.03,1482,1.03,1482,1482
Dec 2016,2402,2402,0,0,0,0,22384,,22384,,22384,22384
Nov 2016,5279,5279,0,0,0,0,49195,,49195,,49195,49195
Oct 2016,8742,8742,0,0,0,0,81467,,81467,,81467,81467
Sep 2016,15339,15339,71883,71883,71883,71883,142944,1.03,142944,1.03,142944,142944
Aug 2016,18611,18611,50166,50166,50166,50166,173436,1.03,173436,1.03,173436,173436
Jul 2016,21878,21878,28631,28631,28631,28631,203881,1.03,203881,1.03,203881,203881
Jun 2016,19794,19794,49588,49588,49588,49588,184460,1.03,184460,1.03,184460,184460
May 2016,18982,18982,2868,2868,2868,2868,176893,1.03,176893,1.03,176893,176893
Apr 2016,12648,12648,0,0,0,0,117867,,117867,,117867,117867
Mar 2016,8926,8926,0,0,0,0,83181,,83181,,83181,83181
Feb 2016,7934,7934,0,0,0,0,73937,,73937,,73937,73937
Jan 2016,314,314,7787,7787,7787,7787,2926,1.03,2926,1.03,2926,2926
Dec 2015,2772,2772,0,0,0,0,25832,,25832,,25832,25832
Nov 2015,6219,6219,0,0,0,0,57955,,57955,,57955,57955
Oct 2015,8331,8331,0,0,0,0,77637,,77637,,77637,77637
Sep 2015,13468,13468,73727,73727,73727,73727,125508,1.02,125508,1.02,125508,125508
Aug 2015,18721,18721,65731,65731,65731,65731,174461,1.02,174461,1.02,174461,174461
Jul 2015,17755,17755,61784,61784,61784,61784,165459,1.03,165459,1.03,165459,165459
Jun 2015,17563,17563,52061,52061,52061,52061,163670,1.03,163670,1.03,163670,163670
May 2015,16462,16462,2107,2107,2107,2107,153409,1.03,153409,1.03,153409,153409
Apr 2015,16467,16467,0,0,0,0,153456,,153456,,153456,153456
Mar 2015,12315,12315,0,0,0,0,114763,,114763,,114763,114763
Feb 2015,7703,7703,0,0,0,0,71784,,71784,,71784,71784
Jan 2015,373,373,5405,5405,5405,5405,3476,1.03,3476,1.03,3476,3476
Dec 2014,1942,1942,0,0,0,0,18468,,18468,,18468,18468
Nov 2014,5619,5619,2156,2156,2156,2156,53437,1.03,53437,1.03,53437,53437
Oct 2014,11312,11312,878,878,878,878,107577,1.03,107577,1.03,107577,107577
Sep 2014,15761,15761,51257,51257,51257,51257,149887,1.02,149887,1.02,149887,149887
Aug 2014,18177,18177,43769,43769,43769,43769,172863,1.02,172863,1.02,172863,172863
Jul 2014,18538,18538,41117,41117,41117,41117,176296,1.02,176296,1.02,176296,176296
Jun 2014,23188,23188,25895,25895,25895,25895,220518,1.02,220518,1.02,220518,220518
May 2014,17771,17771,2386,2386,2386,2386,169002,1.02,169002,1.02,169002,169002
Apr 2014,16311,16311,0,0,0,0,155118,,155118,,155118,155118
Mar 2014,11066,11066,0,0,0,0,105238,,105238,,105238,105238
Feb 2014,5510,5510,0,0,0,0,52400,,52400,,52400,52400
Jan 2014,330,330,9478,9478,9478,9478,3138,1.02,3138,1.02,3138,3138
Dec 2013,4145,4145,0,0,0,0,39547,,39547,,39547,39547
Nov 2013,4568,4568,0,0,0,0,43583,,43583,,43583,43583
Oct 2013,11568,11568,0,0,0,0,110370,,110370,,110370,110370
Sep 2013,13550,13550,61415,61415,61415,61415,129281,1.02,129281,1.02,129281,129281
Aug 2013,18017,18017,51572,51572,51572,51572,171900,1.02,171900,1.02,171900,171900
Jul 2013,14247,14247,67732,67732,67732,67732,135931,1.02,135931,1.02,135931,135931
Jun 2013,20760,20760,23639,23639,23639,23639,198071,1.03,198071,1.03,198071,198071
May 2013,18218,18218,2933,2933,2933,2933,173818,1.02,173818,1.02,173818,173818
