,HenryHub,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2014,4.32,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2014,4.39,,,,,,,,,,,,,,,,,,,,,,,,
04-01-2014,4.35,,,,,,,,,,,,,,,,,,,,,,,,
05-01-2014,4.35,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2014,4.5,,,,,,,,,,,,,,,,,,,,,,,,
07-01-2014,4.58,,,,,,,,,,,,,,,,,,,,,,,,
08-01-2014,4.36,,,,,,,,,,,,,,,,,,,,,,,,
09-01-2014,4.15,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2014,3.95,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2014,4.19,,,,,,,,,,,,,,,,,,,,,,,,
14-01-2014,4.36,,,,,,,,,,,,,,,,,,,,,,,,
15-01-2014,4.45,,,,,,,,,,,,,,,,,,,,,,,,
16-01-2014,4.55,,,,,,,,,,,,,,,,,,,,,,,,
17-01-2014,4.39,,,,,,,,,,,,,,,,,,,,,,,,
21-01-2014,4.61,,,,,,,,,,,,,,,,,,,,,,,,
22-01-2014,4.92,,,,,,,,,,,,,,,,,,,,,,,,
23-01-2014,5.64,,,,,,,,,,,,,,,,,,,,,,,,
24-01-2014,5.17,,,,,,,,,,,,,,,,,,,,,,,,
27-01-2014,5.66,,,,,,,,,,,,,,,,,,,,,,,,
28-01-2014,5.25,,,,,,,,,,,,,,,,,,,,,,,,
29-01-2014,5.23,,,,,,,,,,,,,,,,,,,,,,,,
30-01-2014,5.27,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2014,5.04,,,,,,,,,,,,,,,,,,,,,,,,
03-02-2014,5.04,,,,,,,,,,,,,,,,,,,,,,,,
04-02-2014,5.78,,,,,,,,,,,,,,,,,,,,,,,,
05-02-2014,8.12,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2014,6.9,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2014,5.92,,,,,,,,,,,,,,,,,,,,,,,,
10-02-2014,8.15,,,,,,,,,,,,,,,,,,,,,,,,
11-02-2014,7.75,,,,,,,,,,,,,,,,,,,,,,,,
12-02-2014,5.96,,,,,,,,,,,,,,,,,,,,,,,,
13-02-2014,5.34,,,,,,,,,,,,,,,,,,,,,,,,
14-02-2014,5.54,,,,,,,,,,,,,,,,,,,,,,,,
18-02-2014,5.8,,,,,,,,,,,,,,,,,,,,,,,,
19-02-2014,6,,,,,,,,,,,,,,,,,,,,,,,,
20-02-2014,5.96,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2014,6.24,,,,,,,,,,,,,,,,,,,,,,,,
24-02-2014,6.08,,,,,,,,,,,,,,,,,,,,,,,,
25-02-2014,5.21,,,,,,,,,,,,,,,,,,,,,,,,
26-02-2014,4.81,,,,,,,,,,,,,,,,,,,,,,,,
27-02-2014,4.61,,,,,,,,,,,,,,,,,,,,,,,,
28-02-2014,4.8,,,,,,,,,,,,,,,,,,,,,,,,
03-03-2014,7.09,,,,,,,,,,,,,,,,,,,,,,,,
04-03-2014,7.98,,,,,,,,,,,,,,,,,,,,,,,,
05-03-2014,6.46,,,,,,,,,,,,,,,,,,,,,,,,
06-03-2014,4.89,,,,,,,,,,,,,,,,,,,,,,,,
07-03-2014,4.78,,,,,,,,,,,,,,,,,,,,,,,,
10-03-2014,4.67,,,,,,,,,,,,,,,,,,,,,,,,
11-03-2014,4.67,,,,,,,,,,,,,,,,,,,,,,,,
12-03-2014,4.72,,,,,,,,,,,,,,,,,,,,,,,,
13-03-2014,4.41,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2014,4.4,,,,,,,,,,,,,,,,,,,,,,,,
17-03-2014,4.57,,,,,,,,,,,,,,,,,,,,,,,,
18-03-2014,4.42,,,,,,,,,,,,,,,,,,,,,,,,
19-03-2014,4.43,,,,,,,,,,,,,,,,,,,,,,,,
20-03-2014,4.39,,,,,,,,,,,,,,,,,,,,,,,,
21-03-2014,4.33,,,,,,,,,,,,,,,,,,,,,,,,
24-03-2014,4.42,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2014,4.53,,,,,,,,,,,,,,,,,,,,,,,,
26-03-2014,4.44,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2014,4.39,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2014,4.5,,,,,,,,,,,,,,,,,,,,,,,,
31-03-2014,4.48,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2014,4.39,,,,,,,,,,,,,,,,,,,,,,,,
02-04-2014,4.39,,,,,,,,,,,,,,,,,,,,,,,,
03-04-2014,4.51,,,,,,,,,,,,,,,,,,,,,,,,
04-04-2014,4.49,,,,,,,,,,,,,,,,,,,,,,,,
07-04-2014,4.58,,,,,,,,,,,,,,,,,,,,,,,,
08-04-2014,4.57,,,,,,,,,,,,,,,,,,,,,,,,
09-04-2014,4.67,,,,,,,,,,,,,,,,,,,,,,,,
10-04-2014,4.67,,,,,,,,,,,,,,,,,,,,,,,,
11-04-2014,4.67,,,,,,,,,,,,,,,,,,,,,,,,
14-04-2014,4.64,,,,,,,,,,,,,,,,,,,,,,,,
15-04-2014,4.69,,,,,,,,,,,,,,,,,,,,,,,,
16-04-2014,4.64,,,,,,,,,,,,,,,,,,,,,,,,
17-04-2014,4.64,,,,,,,,,,,,,,,,,,,,,,,,
21-04-2014,4.76,,,,,,,,,,,,,,,,,,,,,,,,
22-04-2014,4.76,,,,,,,,,,,,,,,,,,,,,,,,
23-04-2014,4.81,,,,,,,,,,,,,,,,,,,,,,,,
24-04-2014,4.81,,,,,,,,,,,,,,,,,,,,,,,,
25-04-2014,4.83,,,,,,,,,,,,,,,,,,,,,,,,
28-04-2014,4.72,,,,,,,,,,,,,,,,,,,,,,,,
29-04-2014,4.78,,,,,,,,,,,,,,,,,,,,,,,,
30-04-2014,4.79,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2014,4.79,,,,,,,,,,,,,,,,,,,,,,,,
02-05-2014,4.73,,,,,,,,,,,,,,,,,,,,,,,,
05-05-2014,4.73,,,,,,,,,,,,,,,,,,,,,,,,
06-05-2014,4.8,,,,,,,,,,,,,,,,,,,,,,,,
07-05-2014,4.82,,,,,,,,,,,,,,,,,,,,,,,,
08-05-2014,4.77,,,,,,,,,,,,,,,,,,,,,,,,
09-05-2014,4.59,,,,,,,,,,,,,,,,,,,,,,,,
12-05-2014,4.52,,,,,,,,,,,,,,,,,,,,,,,,
13-05-2014,4.47,,,,,,,,,,,,,,,,,,,,,,,,
14-05-2014,4.47,,,,,,,,,,,,,,,,,,,,,,,,
15-05-2014,4.42,,,,,,,,,,,,,,,,,,,,,,,,
16-05-2014,4.42,,,,,,,,,,,,,,,,,,,,,,,,
19-05-2014,4.54,,,,,,,,,,,,,,,,,,,,,,,,
20-05-2014,4.53,,,,,,,,,,,,,,,,,,,,,,,,
21-05-2014,4.57,,,,,,,,,,,,,,,,,,,,,,,,
22-05-2014,4.57,,,,,,,,,,,,,,,,,,,,,,,,
23-05-2014,4.4,,,,,,,,,,,,,,,,,,,,,,,,
26-05-2014,4.4,,,,,,,,,,,,,,,,,,,,,,,,
27-05-2014,4.4,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2014,4.56,,,,,,,,,,,,,,,,,,,,,,,,
29-05-2014,4.63,,,,,,,,,,,,,,,,,,,,,,,,
30-05-2014,4.49,,,,,,,,,,,,,,,,,,,,,,,,
02-06-2014,4.49,,,,,,,,,,,,,,,,,,,,,,,,
03-06-2014,4.62,,,,,,,,,,,,,,,,,,,,,,,,
04-06-2014,4.62,,,,,,,,,,,,,,,,,,,,,,,,
05-06-2014,4.66,,,,,,,,,,,,,,,,,,,,,,,,
06-06-2014,4.66,,,,,,,,,,,,,,,,,,,,,,,,
09-06-2014,4.67,,,,,,,,,,,,,,,,,,,,,,,,
10-06-2014,4.67,,,,,,,,,,,,,,,,,,,,,,,,
11-06-2014,4.51,,,,,,,,,,,,,,,,,,,,,,,,
12-06-2014,4.51,,,,,,,,,,,,,,,,,,,,,,,,
13-06-2014,4.7,,,,,,,,,,,,,,,,,,,,,,,,
16-06-2014,4.71,,,,,,,,,,,,,,,,,,,,,,,,
17-06-2014,4.68,,,,,,,,,,,,,,,,,,,,,,,,
18-06-2014,4.68,,,,,,,,,,,,,,,,,,,,,,,,
19-06-2014,4.67,,,,,,,,,,,,,,,,,,,,,,,,
20-06-2014,4.53,,,,,,,,,,,,,,,,,,,,,,,,
23-06-2014,4.53,,,,,,,,,,,,,,,,,,,,,,,,
24-06-2014,4.49,,,,,,,,,,,,,,,,,,,,,,,,
25-06-2014,4.58,,,,,,,,,,,,,,,,,,,,,,,,
26-06-2014,4.58,,,,,,,,,,,,,,,,,,,,,,,,
27-06-2014,4.39,,,,,,,,,,,,,,,,,,,,,,,,
30-06-2014,4.39,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2014,4.47,,,,,,,,,,,,,,,,,,,,,,,,
02-07-2014,4.47,,,,,,,,,,,,,,,,,,,,,,,,
03-07-2014,4.31,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2014,4.31,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2014,4.18,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2014,4.17,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2014,4.15,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2014,4.13,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2014,4.13,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2014,4.13,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2014,4.16,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2014,4.04,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2014,4.08,,,,,,,,,,,,,,,,,,,,,,,,
21-07-2014,3.87,,,,,,,,,,,,,,,,,,,,,,,,
22-07-2014,3.81,,,,,,,,,,,,,,,,,,,,,,,,
23-07-2014,3.83,,,,,,,,,,,,,,,,,,,,,,,,
24-07-2014,3.83,,,,,,,,,,,,,,,,,,,,,,,,
25-07-2014,3.86,,,,,,,,,,,,,,,,,,,,,,,,
28-07-2014,3.84,,,,,,,,,,,,,,,,,,,,,,,,
29-07-2014,3.79,,,,,,,,,,,,,,,,,,,,,,,,
30-07-2014,3.78,,,,,,,,,,,,,,,,,,,,,,,,
31-07-2014,3.78,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2014,3.77,,,,,,,,,,,,,,,,,,,,,,,,
04-08-2014,3.87,,,,,,,,,,,,,,,,,,,,,,,,
