tradedate,mean_price
12/14/01,49.452728
12/17/01,51.033333
12/18/01,55.903999
12/19/01,48.996002
12/20/01,44.610001
12/21/01,46.794003
12/26/01,51.90889
12/27/01,47.474285
12/28/01,44.609093
01-02-2002,48.370716
01-03-2002,44.335999
01-04-2002,46.954613
01-07-2002,47.439999
01-08-2002,46.000835
01-09-2002,49.209
01-10-2002,46.435555
01-11-2002,43.111668
1/14/02,48.744446
1/15/02,47.684998
1/16/02,49.151249
1/17/02,46.013638
1/18/02,45.298
1/21/02,46.448334
1/22/02,46.448334
1/23/02,50.609001
1/24/02,48.611
1/25/02,47.288998
1/28/02,48.721001
1/29/02,47.461819
1/30/02,50.37125
1/31/02,49.233334
02-01-2002,48.144165
02-04-2002,48.870003
02-05-2002,47.770908
02-06-2002,50.194
02-07-2002,45.486362
02-08-2002,43.689999
02-11-2002,49.938889
02-12-2002,46.695999
2/13/02,43.290001
2/14/02,42.754547
2/15/02,41.143639
2/19/02,47.095455
2/20/02,52.776665
2/21/02,45.894001
2/22/02,46.709091
2/25/02,52.298183
2/26/02,49.48111
2/27/02,44.37125
2/28/02,47.906666
03-01-2002,46.100834
03-04-2002,48.263638
03-05-2002,48.468182
03-06-2002,52.142998
03-07-2002,44.668999
03-08-2002,46.925835
03-11-2002,47.234547
03-12-2002,48.074547
3/13/02,50.013
3/14/02,44.745998
3/15/02,46.41
3/18/02,45.779091
3/19/02,45.873634
3/20/02,45.057777
3/21/02,45.041
3/22/02,47.796364
3/25/02,45.550911
3/26/02,46.392727
3/27/02,49.123333
3/28/02,38.48
3/29/02,45.116154
04-01-2002,50.906666
04-02-2002,49.990002
04-03-2002,53.037998
04-04-2002,46.787777
04-05-2002,44.636925
04-08-2002,48.993
04-09-2002,49.106998
04-10-2002,52.895
04-11-2002,49.433998
04-12-2002,46.049091
4/15/02,46.868999
4/18/02,50.029999
4/19/02,46.542309
4/22/02,46.955456
4/23/02,48.913002
4/24/02,51.148998
4/25/02,47.568001
4/26/02,45.066666
4/29/02,47.629089
4/30/02,48.372726
05-01-2002,52.067272
05-02-2002,47.485001
05-03-2002,44.796665
05-06-2002,46.41
05-07-2002,48.359093
05-08-2002,49.888
05-09-2002,47.778999
05-10-2002,46.01923
5/13/02,50.869091
5/14/02,53.394547
5/15/02,55.102001
5/16/02,50.396
5/17/02,47.064167
5/20/02,50.980999
5/21/02,50.978889
5/22/02,42.433334
5/24/02,46.494286
5/28/02,49.758999
5/29/02,52.075554
5/30/02,39.831001
5/31/02,46.84
06-03-2002,50.48
06-04-2002,50.385834
06-05-2002,50.132999
06-06-2002,46.543999
06-07-2002,42.915833
06-10-2002,43.952728
06-11-2002,47.094543
06-12-2002,52.380001
6/13/02,49.652
6/14/02,46.700832
6/17/02,51.692726
6/18/02,55.68
6/19/02,59.085999
6/20/02,59.042
6/21/02,49.203335
6/24/02,52.167274
6/25/02,56.065453
6/26/02,58.273003
6/27/02,45.550907
6/28/02,56.934544
