Net generation for all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M~ELEC.GEN.TSN-US-99.M~ELEC.GEN.PEL-US-99.M~ELEC.GEN.PC-US-99.M~ELEC.GEN.OOG-US-99.M~ELEC.GEN.SUN-US-99.M~ELEC.GEN.GEO-US-99.M~ELEC.GEN.BIO-US-99.M~ELEC.GEN.WWW-US-99.M~ELEC.GEN.WAS-US-99.M~ELEC.GEN.HPS-US-99.M~ELEC.GEN.OTH-US-99.M~ELEC.GEN.DPV-US-99.M&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=201708&ctype=linechart&ltype=pin&rtype=s&maptype=0&pin=&rse=0
20:33:38 GMT-0800 (Pacific Standard Time)
Data source: U.S. Energy Information Administration
Month,United States : all fuels (utility-scale) thousand megawatthours,United States : coal thousand megawatthours,United States : natural gas thousand megawatthours,United States : nuclear thousand megawatthours,United States : conventional hydroelectric thousand megawatthours,United States : wind thousand megawatthours,United States : all solar thousand megawatthours,United States : petroleum liquids thousand megawatthours,United States : petroleum coke thousand megawatthours,United States : other gases thousand megawatthours,United States : all utility-scale solar thousand megawatthours,United States : geothermal thousand megawatthours,United States : biomass thousand megawatthours,United States : wood and wood-derived fuels thousand megawatthours,United States : other biomass thousand megawatthours,United States : hydro-electric pumped storage thousand megawatthours,United States : other thousand megawatthours,United States : small-scale solar photovoltaic thousand megawatthours
Aug 2017,380697.37686,120005.02723,137781.17654,72384.218,21406.11544,13094.35739,7972.79588,987.99536,733.05475,1335.45199,5426.88558,1493.15296,5470.40484,3693.18957,1777.21527,-638.234,1217.77079,2545.9103
Jul 2017,400022.40229,128342.20836,142435.62864,71314.219,26223.40819,15710.87796,8173.37128,948.91186,864.82229,1231.2658,5543.93255,1503.77444,5456.48488,3710.5183,1745.96658,-759.494,1206.36233,2629.43873
Jun 2017,355774.05894,108109.44767,114215.20383,67010.814,30674.02156,19428.93856,8796.43995,999.75584,890.93273,1153.4726,6272.18984,1386.55585,5103.40588,3399.49405,1703.91183,-567.516,1096.83659,2524.25011
May 2017,321201.54644,93124.51908,96353.78296,61309.446,32121.87369,22326.39536,8295.47377,1002.21686,838.60175,1162.93613,5815.99363,1421.9232,5066.60426,3321.05279,1745.55147,-423.168,1080.42151,2479.48014
Apr 2017,293678.9565,81788.87075,86234.01817,56743.352,29236.3921,25403.08966,7084.19434,896.80281,434.71585,1083.58069,4816.38306,1502.51425,4915.45693,3254.44399,1661.01294,-437.123,1060.90324,2267.81128
Mar 2017,317933.58227,89648.06311,92637.53402,65093.2,30198.03166,25598.9075,6528.74272,971.11388,744.44105,1206.35061,4474.46842,1532.67903,5267.0806,3504.39759,1762.68301,-516.545,1078.25738,2054.2743
Feb 2017,288413.89339,87267.31537,78581.34513,64052.805,24611.21417,21691.63488,4010.84643,916.26914,706.59063,1151.6412,2561.68958,1369.31273,4983.97041,3307.94719,1676.02322,-504.196,1024.30115,1449.15685
Jan 2017,341071.98381,115549.2098,91325.31625,73120.612,27704.41736,20349.60368,3487.96543,1175.29764,944.65568,1114.99359,2205.62625,1540.51475,5342.01673,3450.77309,1891.24364,-417.959,1117.67911,1282.33918
Dec 2016,345238.30656,118790.16447,96411.88975,71662.429,22537.88676,22991.03132,3500.49263,1139.35976,871.24193,1007.40542,2298.81468,1619.97545,5516.83886,3584.37044,1932.46842,-752.869,1144.13817,1201.67795
Nov 2016,297427.34849,86999.7064,94529.48078,65178.776,18814.83257,19342.23337,4006.965,1058.04749,781.112,1001.15199,2700.21601,1506.59282,5030.04078,3256.64539,1773.39539,-606.895,1092.05328,1306.74899
