Month,Average.retail.price.of.electricity.monthly.California...all.sectors.cents.per.kilowatthour
1/1/2001,8.71
2/1/2001,9.63
3/1/2001,9.89
4/1/2001,9.88
5/1/2001,9.82
6/1/2001,11.34
7/1/2001,13.47
8/1/2001,13.12
9/1/2001,13.13
10/1/2001,12.74
11/1/2001,11.16
12/1/2001,11.07
1/1/2002,11.32
2/1/2002,11.17
3/1/2002,11.35
4/1/2002,10.99
5/1/2002,12.11
6/1/2002,12.75
7/1/2002,13.77
8/1/2002,13.27
9/1/2002,12.24
10/1/2002,12.68
11/1/2002,12.09
12/1/2002,11.94
1/1/2003,11.52
2/1/2003,11.65
3/1/2003,10.62
4/1/2003,11.73
5/1/2003,12.15
6/1/2003,13
7/1/2003,13.84
8/1/2003,12.73
9/1/2003,10.24
10/1/2003,10.72
11/1/2003,11.65
12/1/2003,11.26
1/1/2004,11.08
2/1/2004,11.41
3/1/2004,10.98
4/1/2004,10.23
5/1/2004,10.86
6/1/2004,11.91
7/1/2004,12.39
8/1/2004,12.16
9/1/2004,11.97
10/1/2004,11.48
11/1/2004,11.26
12/1/2004,10.08
1/1/2005,10.85
2/1/2005,11.21
3/1/2005,10.44
4/1/2005,10.91
5/1/2005,11.19
6/1/2005,12.5
7/1/2005,13.16
8/1/2005,12.7
9/1/2005,12.29
10/1/2005,11.27
11/1/2005,11.14
12/1/2005,11.15
1/1/2006,11.25
2/1/2006,11.72
3/1/2006,11.69
4/1/2006,12.04
5/1/2006,12.31
6/1/2006,13.9
7/1/2006,15.17
8/1/2006,13.96
9/1/2006,13.85
10/1/2006,12.16
11/1/2006,12.38
12/1/2006,12.14
1/1/2007,12.42
2/1/2007,11.98
3/1/2007,11.89
4/1/2007,11.74
5/1/2007,12.24
6/1/2007,13.66
7/1/2007,14.08
8/1/2007,13.99
9/1/2007,13.85
10/1/2007,12.61
11/1/2007,12.29
12/1/2007,11.97
1/1/2008,11.55
2/1/2008,11.55
3/1/2008,11.46
4/1/2008,11.23
5/1/2008,12.01
6/1/2008,13.67
7/1/2008,13.62
8/1/2008,14.07
9/1/2008,13.32
10/1/2008,12.47
11/1/2008,12.48
12/1/2008,11.64
1/1/2009,12.33
2/1/2009,12.26
3/1/2009,12.19
4/1/2009,12.17
5/1/2009,13.16
6/1/2009,14.13
7/1/2009,15
8/1/2009,14.91
9/1/2009,14.72
10/1/2009,13.23
11/1/2009,11.36
12/1/2009,12.21
1/1/2010,12.29
2/1/2010,11.83
3/1/2010,12.18
4/1/2010,11.79
5/1/2010,12.66
6/1/2010,13.91
7/1/2010,14.39
8/1/2010,14.28
9/1/2010,14.32
10/1/2010,13.09
11/1/2010,12.39
12/1/2010,12.17
1/1/2011,12.4
2/1/2011,12.21
3/1/2011,11.91
4/1/2011,12.09
5/1/2011,12.64
6/1/2011,13.96
7/1/2011,14.64
8/1/2011,14.23
9/1/2011,13.97
10/1/2011,13.24
11/1/2011,12.52
12/1/2011,12.03
1/1/2012,12.74
2/1/2012,12.46
3/1/2012,12.31
4/1/2012,12.37
5/1/2012,12.87
6/1/2012,14.67
7/1/2012,14.26
8/1/2012,15.2
9/1/2012,15.51
10/1/2012,13.29
11/1/2012,12.88
12/1/2012,12.67
1/1/2013,13.03
2/1/2013,12.98
3/1/2013,12.84
4/1/2013,12.98
5/1/2013,13.8
6/1/2013,15.84
7/1/2013,15.78
8/1/2013,15.66
9/1/2013,15.66
10/1/2013,14.64
11/1/2013,14.02
12/1/2013,13.23
1/1/2014,13.86
2/1/2014,13.65
3/1/2014,13.59
4/1/2014,11.74
5/1/2014,14.47
6/1/2014,15.99
7/1/2014,17.05
8/1/2014,17.25
9/1/2014,17.3
10/1/2014,15.36
11/1/2014,15.16
12/1/2014,14.46
1/1/2015,14.55
2/1/2015,14.3
3/1/2015,14.22
4/1/2015,12.64
5/1/2015,14.76
6/1/2015,16.12
7/1/2015,17.31
8/1/2015,17.19
9/1/2015,17.36
10/1/2015,15.62
11/1/2015,15.03
12/1/2015,14.41
1/1/2016,14.74
2/1/2016,14.53
3/1/2016,14.34
4/1/2016,12.67
5/1/2016,14.94
6/1/2016,16.24
7/1/2016,16.93
8/1/2016,17.15
9/1/2016,16.68
10/1/2016,14.18
11/1/2016,14.99
12/1/2016,14.88
1/1/2017,15.12
2/1/2017,15.3
3/1/2017,15.39
4/1/2017,13.12
5/1/2017,15.46
6/1/2017,17.55
7/1/2017,17.53
