Month,BioMass.Prod.Trill.BTU.
1/1/2001,228.434
2/1/2001,202.849
3/1/2001,219.649
4/1/2001,213.628
5/1/2001,211.506
6/1/2001,213.95
7/1/2001,221.842
8/1/2001,225.897
9/1/2001,214.229
10/1/2001,227.319
11/1/2001,219.773
12/1/2001,225.088
1/1/2002,228.396
2/1/2002,198.932
3/1/2002,217.568
4/1/2002,212.852
5/1/2002,225.155
6/1/2002,215.107
7/1/2002,235.713
8/1/2002,224.4
9/1/2002,230.855
10/1/2002,243.767
11/1/2002,230.328
12/1/2002,242.334
1/1/2003,237.044
2/1/2003,212.693
3/1/2003,233.288
4/1/2003,228.516
5/1/2003,229.756
6/1/2003,228.254
7/1/2003,242.533
8/1/2003,239.928
9/1/2003,230.968
10/1/2003,236.938
11/1/2003,233.698
12/1/2003,251.16
1/1/2004,255.574
2/1/2004,236.689
3/1/2004,248.532
4/1/2004,247.253
5/1/2004,244.383
6/1/2004,244.075
7/1/2004,257.042
8/1/2004,254.446
9/1/2004,243.019
10/1/2004,253.52
11/1/2004,247.286
12/1/2004,264.199
1/1/2005,264.707
2/1/2005,247.271
3/1/2005,260.043
4/1/2005,246.929
5/1/2005,255.79
6/1/2005,252.466
7/1/2005,266.332
8/1/2005,266.097
9/1/2005,255.348
10/1/2005,261.121
11/1/2005,256.532
12/1/2005,268.55
1/1/2006,276.647
2/1/2006,247.274
3/1/2006,265.069
4/1/2006,250.384
5/1/2006,261.125
6/1/2006,261.96
7/1/2006,274.809
8/1/2006,277.063
9/1/2006,267.952
10/1/2006,275.12
11/1/2006,270.475
12/1/2006,283.636
1/1/2007,290.845
2/1/2007,261.666
3/1/2007,285.146
4/1/2007,278.386
5/1/2007,286.01
6/1/2007,281.995
7/1/2007,295.653
8/1/2007,295.523
9/1/2007,287.603
10/1/2007,299.416
11/1/2007,297.828
12/1/2007,312.007
1/1/2008,331.138
2/1/2008,300.535
3/1/2008,321.487
4/1/2008,314.073
5/1/2008,324.185
6/1/2008,313.335
7/1/2008,330.507
8/1/2008,333.607
9/1/2008,318.84
10/1/2008,330.125
11/1/2008,327.317
12/1/2008,323.102
1/1/2009,318.013
2/1/2009,294.082
3/1/2009,319.016
4/1/2009,303.16
5/1/2009,318.693
6/1/2009,321.411
7/1/2009,343.501
8/1/2009,348.211
9/1/2009,332.045
10/1/2009,346.132
11/1/2009,348.004
12/1/2009,360.349
1/1/2010,357.023
2/1/2010,329.844
3/1/2010,364.046
4/1/2010,349.52
5/1/2010,355.964
6/1/2010,352.927
7/1/2010,365.395
8/1/2010,369.015
9/1/2010,357.953
10/1/2010,366.723
11/1/2010,367.2
12/1/2010,380.869
1/1/2011,382.892
2/1/2011,343.631
3/1/2011,377.308
4/1/2011,356.541
5/1/2011,367.049
6/1/2011,372.394
7/1/2011,381.369
8/1/2011,384.588
9/1/2011,369.764
10/1/2011,379.85
11/1/2011,383.524
12/1/2011,402.438
1/1/2012,386.895
2/1/2012,361.443
3/1/2012,375.436
4/1/2012,356.963
5/1/2012,374.887
6/1/2012,365.769
7/1/2012,367.103
8/1/2012,373.614
9/1/2012,354.912
10/1/2012,361.533
11/1/2012,356.619
12/1/2012,370.582
1/1/2013,376.877
2/1/2013,340.831
3/1/2013,382.909
4/1/2013,372.033
5/1/2013,389.714
6/1/2013,386.711
7/1/2013,402.698
8/1/2013,396.999
9/1/2013,378.787
10/1/2013,400.303
11/1/2013,399.495
12/1/2013,419.564
1/1/2014,405.457
2/1/2014,367.761
3/1/2014,407.455
4/1/2014,393.377
5/1/2014,403.727
6/1/2014,406.948
7/1/2014,421.422
8/1/2014,416.676
9/1/2014,396.605
10/1/2014,408.482
11/1/2014,403.886
12/1/2014,429.398
1/1/2015,402.848
2/1/2015,364.362
3/1/2015,394.67
4/1/2015,381.474
5/1/2015,398.364
6/1/2015,396.702
7/1/2015,411.496
8/1/2015,408.341
9/1/2015,387.217
10/1/2015,395.069
11/1/2015,396.415
12/1/2015,413.67
1/1/2016,406.357
2/1/2016,383.633
3/1/2016,403.874
4/1/2016,378.001
5/1/2016,399.177
6/1/2016,403.631
7/1/2016,412.801
8/1/2016,417.145
9/1/2016,393.849
10/1/2016,400.3
11/1/2016,401.571
12/1/2016,428.355
1/1/2017,418.369
2/1/2017,377.482
3/1/2017,416.97
4/1/2017,388.275
5/1/2017,404.818
6/1/2017,400.461
7/1/2017,411.792
