Average retail price of electricity monthly,
https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=000000000004&endsec=vg&freq=M&start=201001&end=201708&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
17:41:27 GMT-0800 (Pacific Standard Time),
Source: U.S. Energy Information Administration,
Month,California : all sectors cents per kilowatthour
Jan-01,8.71
Feb-01,9.63
Mar-01,9.89
Apr-01,9.88
May-01,9.82
Jun-01,11.34
Jul-01,13.47
Aug-01,13.12
Sep-01,13.13
Oct-01,12.74
Nov-01,11.16
Dec-01,11.07
Jan-02,11.32
Feb-02,11.17
Mar-02,11.35
Apr-02,10.99
May-02,12.11
Jun-02,12.75
Jul-02,13.77
Aug-02,13.27
Sep-02,12.24
Oct-02,12.68
Nov-02,12.09
Dec-02,11.94
Jan-03,11.52
Feb-03,11.65
Mar-03,10.62
Apr-03,11.73
May-03,12.15
Jun-03,13
Jul-03,13.84
Aug-03,12.73
Sep-03,10.24
Oct-03,10.72
Nov-03,11.65
Dec-03,11.26
Jan-04,11.08
Feb-04,11.41
Mar-04,10.98
Apr-04,10.23
May-04,10.86
Jun-04,11.91
Jul-04,12.39
Aug-04,12.16
Sep-04,11.97
Oct-04,11.48
Nov-04,11.26
Dec-04,10.08
Jan-05,10.85
Feb-05,11.21
Mar-05,10.44
Apr-05,10.91
May-05,11.19
Jun-05,12.5
Jul-05,13.16
Aug-05,12.7
Sep-05,12.29
Oct-05,11.27
Nov-05,11.14
Dec-05,11.15
Jan-06,11.25
Feb-06,11.72
Mar-06,11.69
Apr-06,12.04
May-06,12.31
Jun-06,13.9
Jul-06,15.17
Aug-06,13.96
Sep-06,13.85
Oct-06,12.16
Nov-06,12.38
Dec-06,12.14
Jan-07,12.42
Feb-07,11.98
Mar-07,11.89
Apr-07,11.74
May-07,12.24
Jun-07,13.66
Jul-07,14.08
Aug-07,13.99
Sep-07,13.85
Oct-07,12.61
Nov-07,12.29
Dec-07,11.97
Jan-08,11.55
Feb-08,11.55
Mar-08,11.46
Apr-08,11.23
May-08,12.01
Jun-08,13.67
Jul-08,13.62
Aug-08,14.07
Sep-08,13.32
Oct-08,12.47
Nov-08,12.48
Dec-08,11.64
Jan-09,12.33
Feb-09,12.26
Mar-09,12.19
Apr-09,12.17
May-09,13.16
Jun-09,14.13
Jul-09,15
Aug-09,14.91
Sep-09,14.72
Oct-09,13.23
Nov-09,11.36
Dec-09,12.21
Jan-10,12.29
Feb-10,11.83
Mar-10,12.18
Apr-10,11.79
May-10,12.66
Jun-10,13.91
Jul-10,14.39
Aug-10,14.28
Sep-10,14.32
Oct-10,13.09
Nov-10,12.39
Dec-10,12.17
Jan-11,12.4
Feb-11,12.21
Mar-11,11.91
Apr-11,12.09
May-11,12.64
Jun-11,13.96
Jul-11,14.64
Aug-11,14.23
Sep-11,13.97
Oct-11,13.24
Nov-11,12.52
Dec-11,12.03
Jan-12,12.74
Feb-12,12.46
Mar-12,12.31
Apr-12,12.37
May-12,12.87
Jun-12,14.67
Jul-12,14.26
Aug-12,15.2
Sep-12,15.51
Oct-12,13.29
Nov-12,12.88
Dec-12,12.67
Jan-13,13.03
Feb-13,12.98
Mar-13,12.84
Apr-13,12.98
May-13,13.8
Jun-13,15.84
Jul-13,15.78
Aug-13,15.66
Sep-13,15.66
Oct-13,14.64
Nov-13,14.02
Dec-13,13.23
Jan-14,13.86
Feb-14,13.65
Mar-14,13.59
Apr-14,11.74
May-14,14.47
Jun-14,15.99
Jul-14,17.05
Aug-14,17.25
Sep-14,17.3
Oct-14,15.36
Nov-14,15.16
Dec-14,14.46
Jan-15,14.55
Feb-15,14.3
Mar-15,14.22
Apr-15,12.64
May-15,14.76
Jun-15,16.12
Jul-15,17.31
Aug-15,17.19
Sep-15,17.36
Oct-15,15.62
Nov-15,15.03
Dec-15,14.41
Jan-16,14.74
Feb-16,14.53
Mar-16,14.34
Apr-16,12.67
May-16,14.94
Jun-16,16.24
Jul-16,16.93
Aug-16,17.15
Sep-16,16.68
Oct-16,14.18
Nov-16,14.99
Dec-16,14.88
Jan-17,15.12
Feb-17,15.3
Mar-17,15.39
Apr-17,13.12
May-17,15.46
Jun-17,17.55
Jul-17,17.53
Aug-17,17.6
