Number of customer accounts monthly,
https://www.eia.gov/electricity/data/browser/#/topic/56?agg=0,1&geo=000000000004&endsec=vg&freq=M&start=201001&end=201708&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
17:46:16 GMT-0800 (Pacific Standard Time),
Source: U.S. Energy Information Administration,
Month,California : all sectors number of customers
Jan-08,15256818
Feb-08,14421483
Mar-08,14739587
Apr-08,14723652
May-08,14722097
Jun-08,14777028
Jul-08,15030516
Aug-08,14844781
Sep-08,14757787
Oct-08,15290906
Nov-08,14100214
Dec-08,15256613
Jan-09,14546581
Feb-09,14271165
Mar-09,14796953
Apr-09,14976204
May-09,14594119
Jun-09,14998213
Jul-09,15045987
Aug-09,14816376
Sep-09,14801842
Oct-09,15036554
Nov-09,14303681
Dec-09,15286390
Jan-10,14425408
Feb-10,14328274
Mar-10,14995778
Apr-10,15114494
May-10,14737258
Jun-10,14741602
Jul-10,14889892
Aug-10,14927929
Sep-10,14908682
Oct-10,15056574
Nov-10,14529764
Dec-10,15396947
Jan-11,14414885
Feb-11,14337141
Mar-11,15406252
Apr-11,14619445
May-11,14907043
Jun-11,15162190
Jul-11,14854605
Aug-11,15272227
Sep-11,14953908
Oct-11,14928576
Nov-11,14699025
Dec-11,15176713
Jan-12,14955267
Feb-12,14724706
Mar-12,15236886
Apr-12,14742818
May-12,15255165
Jun-12,15008651
Jul-12,15029199
Aug-12,15538841
Sep-12,14734362
Oct-12,15332911
Nov-12,14788497
Dec-12,14778414
Jan-13,15322399
Feb-13,14540191
Mar-13,15293895
Apr-13,14888061
May-13,15366312
Jun-13,15043424
Jul-13,15193646
Aug-13,15397845
Sep-13,14762204
Oct-13,15637371
Nov-13,14507211
Dec-13,15337951
Jan-14,15060078
Feb-14,14523185
Mar-14,15073479
Apr-14,15084080
May-14,15083154
Jun-14,15107788
Jul-14,15374460
Aug-14,15020514
Sep-14,14977081
Oct-14,15652839
Nov-14,14542942
Dec-14,15451085
Jan-15,15138785
Feb-15,14629466
Mar-15,15427004
Apr-15,15159714
May-15,15125630
Jun-15,15256941
Jul-15,15720942
Aug-15,14964196
Sep-15,15224295
Oct-15,15481187
Nov-15,14698328
Dec-15,15746872
Jan-16,15150363
Feb-16,14766313
Mar-16,15759928
Apr-16,14979447
May-16,15263222
Jun-16,15535587
Jul-16,15217117
Aug-16,15371094
Sep-16,15297540
Oct-16,15296081
Nov-16,15032836
Dec-16,15569828
Jan-17,15326267
Feb-17,14791994
Mar-17,15863639
Apr-17,14983059
May-17,15425313
Jun-17,15624901
Jul-17,15088878
Aug-17,15670735
