Month,Electricity.Imports..Billion.Kilowatthours.
1/1/2001,3.415
2/1/2001,3.316
3/1/2001,3.527
4/1/2001,3.793
5/1/2001,4.416
6/1/2001,3.695
7/1/2001,3.521
8/1/2001,3.751
9/1/2001,1.936
10/1/2001,1.775
11/1/2001,2.136
12/1/2001,3.22
1/1/2002,3.306
2/1/2002,2.793
3/1/2002,3.312
4/1/2002,3.411
5/1/2002,2.392
6/1/2002,3.152
7/1/2002,4.293
8/1/2002,4.067
9/1/2002,2.763
10/1/2002,2.482
11/1/2002,2.537
12/1/2002,2.27
1/1/2003,3.063
2/1/2003,2.725
3/1/2003,2.758
4/1/2003,2.561
5/1/2003,2.783
6/1/2003,2.872
7/1/2003,3.727
8/1/2003,3.614
9/1/2003,1.723
10/1/2003,0.855
11/1/2003,1.382
12/1/2003,2.332
1/1/2004,2.276
2/1/2004,1.89
3/1/2004,1.762
4/1/2004,2.082
5/1/2004,2.448
6/1/2004,2.944
7/1/2004,4.168
8/1/2004,4.777
9/1/2004,2.938
10/1/2004,2.625
11/1/2004,3.035
12/1/2004,3.266
1/1/2005,3.173
2/1/2005,2.997
3/1/2005,3.445
4/1/2005,3.027
5/1/2005,3.281
6/1/2005,3.587
7/1/2005,4.381
8/1/2005,4.985
9/1/2005,3.709
10/1/2005,3.65
11/1/2005,3.77
12/1/2005,3.925
1/1/2006,3.879
2/1/2006,3.415
3/1/2006,3.702
4/1/2006,3.405
5/1/2006,3.719
6/1/2006,3.776
7/1/2006,4.714
8/1/2006,4.672
9/1/2006,2.18
10/1/2006,2.664
11/1/2006,2.913
12/1/2006,3.652
1/1/2007,3.477
2/1/2007,4.193
3/1/2007,3.894
4/1/2007,3.996
5/1/2007,4.639
6/1/2007,4.492
7/1/2007,5.507
8/1/2007,5.399
9/1/2007,3.838
10/1/2007,3.568
11/1/2007,4.322
12/1/2007,4.07
1/1/2008,5.009
2/1/2008,4.587
3/1/2008,4.796
4/1/2008,4.062
5/1/2008,5.339
6/1/2008,6.12
7/1/2008,6.021
8/1/2008,5.822
9/1/2008,4.856
10/1/2008,3.644
11/1/2008,3.282
12/1/2008,3.481
1/1/2009,4.266
2/1/2009,3.885
3/1/2009,2.949
4/1/2009,3.291
5/1/2009,4.127
6/1/2009,4.73
7/1/2009,5.5
8/1/2009,5.83
9/1/2009,4.471
10/1/2009,4.71
11/1/2009,3.831
12/1/2009,4.6
1/1/2010,5.31
2/1/2010,4.413
3/1/2010,4.355
4/1/2010,3.885
5/1/2010,3.06
6/1/2010,4.055
7/1/2010,4.307
8/1/2010,3.638
9/1/2010,2.907
10/1/2010,2.535
11/1/2010,2.667
12/1/2010,3.951
1/1/2011,4.282
2/1/2011,3.741
3/1/2011,4.023
4/1/2011,3.799
5/1/2011,4.898
6/1/2011,4.483
7/1/2011,6.023
8/1/2011,5.584
9/1/2011,4.036
10/1/2011,3.7
11/1/2011,3.471
12/1/2011,4.26
1/1/2012,4.149
2/1/2012,3.639
3/1/2012,4.205
4/1/2012,4.996
5/1/2012,5.472
6/1/2012,5.37
7/1/2012,6.675
8/1/2012,6.347
9/1/2012,4.908
10/1/2012,4.405
11/1/2012,4.695
12/1/2012,4.397
1/1/2013,5.378
2/1/2013,5.091
3/1/2013,5.578
4/1/2013,5.224
5/1/2013,5.972
6/1/2013,6.292
7/1/2013,6.855
8/1/2013,6.991
9/1/2013,5.658
10/1/2013,5.319
11/1/2013,5.559
12/1/2013,5.33
1/1/2014,5.467
2/1/2014,4.437
3/1/2014,5.584
4/1/2014,4.791
5/1/2014,5.39
6/1/2014,5.493
7/1/2014,6.299
8/1/2014,6.678
9/1/2014,6.034
10/1/2014,5.372
11/1/2014,5.583
12/1/2014,5.383
1/1/2015,6.039
2/1/2015,5.574
3/1/2015,6.632
4/1/2015,6.528
5/1/2015,6.616
6/1/2015,6.694
7/1/2015,6.896
8/1/2015,7.168
9/1/2015,6.611
10/1/2015,5.26
11/1/2015,5.849
12/1/2015,5.906
1/1/2016,6.955
2/1/2016,6.02
3/1/2016,6.383
4/1/2016,5.228
5/1/2016,6.22
6/1/2016,7.26
7/1/2016,8.101
8/1/2016,7.806
9/1/2016,6.678
10/1/2016,6.026
11/1/2016,6.827
12/1/2016,7.156
1/1/2017,5.604
2/1/2017,4.414
3/1/2017,4.823
4/1/2017,5.47
5/1/2017,5.042
6/1/2017,5.742
7/1/2017,6.617
