Month,GenCalifornia...petroleum.coke.thousand.megawatthours
1/1/2001,195.781
2/1/2001,179.294
3/1/2001,163.725
4/1/2001,162.202
5/1/2001,168.005
6/1/2001,169.982
7/1/2001,193.178
8/1/2001,167.782
9/1/2001,153.127
10/1/2001,202.481
11/1/2001,175.514
12/1/2001,188.579
1/1/2002,141.826
2/1/2002,103.712
3/1/2002,155.603
4/1/2002,124.751
5/1/2002,136.501
6/1/2002,165.366
7/1/2002,183.585
8/1/2002,184.674
9/1/2002,173.439
10/1/2002,155.371
11/1/2002,147.681
12/1/2002,157.125
1/1/2003,158.442
2/1/2003,138.794
3/1/2003,159.306
4/1/2003,120.483
5/1/2003,163.605
6/1/2003,180.561
7/1/2003,212.602
8/1/2003,194.375
9/1/2003,183.725
10/1/2003,173.721
11/1/2003,146.757
12/1/2003,163.793
1/1/2004,170.51186
2/1/2004,146.37551
3/1/2004,176.14667
4/1/2004,127.47403
5/1/2004,155.95217
6/1/2004,207.20399
7/1/2004,202.48579
8/1/2004,213.3526
9/1/2004,192.37498
10/1/2004,141.55495
11/1/2004,174.71743
12/1/2004,182.7497
1/1/2005,194.31054
2/1/2005,180.83155
3/1/2005,200.25059
4/1/2005,164.74611
5/1/2005,178.44164
6/1/2005,200.92131
7/1/2005,194.81024
8/1/2005,210.96155
9/1/2005,209.81182
10/1/2005,179.59901
11/1/2005,178.15824
12/1/2005,194.15948
1/1/2006,194.94792
2/1/2006,163.69441
3/1/2006,182.32854
4/1/2006,181.23348
5/1/2006,152.50951
6/1/2006,180.51128
7/1/2006,200.24986
8/1/2006,193.17486
9/1/2006,178.55162
10/1/2006,146.89036
11/1/2006,148.44411
12/1/2006,173.48501
1/1/2007,177.65509
2/1/2007,149.20346
3/1/2007,155.23028
4/1/2007,166.36833
5/1/2007,159.63089
6/1/2007,186.14315
7/1/2007,190.07364
8/1/2007,190.19825
9/1/2007,179.29427
10/1/2007,156.11659
11/1/2007,175.89011
12/1/2007,170.28284
1/1/2008,142.91798
2/1/2008,130.87125
3/1/2008,130.7435
4/1/2008,142.67432
5/1/2008,108.87226
6/1/2008,125.26304
7/1/2008,131.34874
8/1/2008,125.73214
9/1/2008,127.59645
10/1/2008,119.36331
11/1/2008,143.59505
12/1/2008,150.5479
1/1/2009,128.46915
2/1/2009,111.70657
3/1/2009,107.62517
4/1/2009,114.35203
5/1/2009,107.45421
6/1/2009,121.71543
7/1/2009,131.30752
8/1/2009,115.36445
9/1/2009,118.0571
10/1/2009,113.03372
11/1/2009,116.19864
12/1/2009,120.94885
1/1/2010,90.91565
2/1/2010,81.47255
3/1/2010,95.05152
4/1/2010,82.2515
5/1/2010,81.02245
6/1/2010,90.38052
7/1/2010,76.89969
8/1/2010,78.48584
9/1/2010,80.67243
10/1/2010,82.86123
11/1/2010,89.20129
12/1/2010,76.41549
1/1/2011,61.33469
2/1/2011,65.97202
3/1/2011,86.50837
4/1/2011,76.83017
5/1/2011,79.39023
6/1/2011,75.97049
7/1/2011,88.74029
8/1/2011,83.24822
9/1/2011,68.21045
10/1/2011,71.12825
11/1/2011,53.3796
12/1/2011,53.23617
1/1/2012,58.2216
2/1/2012,34.50955
3/1/2012,12
4/1/2012,1.65124
5/1/2012,1
6/1/2012,1
7/1/2012,1
8/1/2012,1
9/1/2012,1
10/1/2012,1
11/1/2012,1
12/1/2012,1
1/1/2013,0
2/1/2013,0
3/1/2013,0
4/1/2013,0
5/1/2013,2.74789
6/1/2013,5.47863
7/1/2013,3.50262
8/1/2013,4.27777
9/1/2013,3.89504
10/1/2013,0.93193
11/1/2013,0
12/1/2013,0
1/1/2014,0
2/1/2014,0
3/1/2014,0
4/1/2014,0
5/1/2014,2.15348
6/1/2014,4.7748
7/1/2014,3.69058
8/1/2014,4.5381
9/1/2014,3.6823
10/1/2014,0.02089
11/1/2014,0
12/1/2014,0
1/1/2015,0
2/1/2015,0
3/1/2015,0
4/1/2015,0
5/1/2015,0
6/1/2015,0
7/1/2015,0
8/1/2015,0
9/1/2015,0
10/1/2015,0
11/1/2015,0
12/1/2015,0
1/1/2016,0
2/1/2016,0
3/1/2016,0
4/1/2016,0
5/1/2016,0
6/1/2016,0
7/1/2016,0
8/1/2016,0
9/1/2016,0
10/1/2016,0
11/1/2016,0
12/1/2016,0
1/1/2017,0
2/1/2017,0
3/1/2017,0
4/1/2017,0
5/1/2017,0
6/1/2017,0
7/1/2017,0
