Month,GeoConsump.TrillBtu.
1/1/2001,14.612
2/1/2001,12.812
3/1/2001,14.206
4/1/2001,13.162
5/1/2001,12.98
6/1/2001,13.088
7/1/2001,14.087
8/1/2001,13.97
9/1/2001,13.617
10/1/2001,13.913
11/1/2001,13.805
12/1/2001,14.208
1/1/2002,15.114
2/1/2002,13.339
3/1/2002,14.682
4/1/2002,13.292
5/1/2002,14.386
6/1/2002,13.659
7/1/2002,14.857
8/1/2002,14.5
9/1/2002,14.109
10/1/2002,14.581
11/1/2002,14.051
12/1/2002,14.594
1/1/2003,15.061
2/1/2003,13.547
3/1/2003,14.607
4/1/2003,14.062
5/1/2003,14.16
6/1/2003,14.633
7/1/2003,14.76
8/1/2003,14.674
9/1/2003,14.437
10/1/2003,14.431
11/1/2003,13.908
12/1/2003,15.164
1/1/2004,15.493
2/1/2004,14.522
3/1/2004,14.954
4/1/2004,14.075
5/1/2004,14.619
6/1/2004,14.709
7/1/2004,15.32
8/1/2004,15.116
9/1/2004,14.345
10/1/2004,15.308
11/1/2004,14.582
12/1/2004,15.104
1/1/2005,15.391
2/1/2005,13.222
3/1/2005,14.912
4/1/2005,14.648
5/1/2005,15.513
6/1/2005,15.257
7/1/2005,15.596
8/1/2005,15.407
9/1/2005,15.003
10/1/2005,15.341
11/1/2005,14.973
12/1/2005,15.438
1/1/2006,15.313
2/1/2006,13.834
3/1/2006,15.628
4/1/2006,14.216
5/1/2006,13.984
6/1/2006,14.911
7/1/2006,15.628
8/1/2006,15.902
9/1/2006,15.112
10/1/2006,15.766
11/1/2006,14.993
12/1/2006,15.913
1/1/2007,16.297
2/1/2007,14.248
3/1/2007,15.392
4/1/2007,14.824
5/1/2007,14.904
6/1/2007,15.616
7/1/2007,15.849
8/1/2007,15.891
9/1/2007,15.414
10/1/2007,15.989
11/1/2007,15.347
12/1/2007,16.003
1/1/2008,15.825
2/1/2008,14.369
3/1/2008,16.239
4/1/2008,15.79
5/1/2008,16.318
6/1/2008,16.206
7/1/2008,16.514
8/1/2008,16.454
9/1/2008,15.944
10/1/2008,16.495
11/1/2008,15.94
12/1/2008,16.339
1/1/2009,17.14
2/1/2009,15.517
3/1/2009,17.252
4/1/2009,16.341
5/1/2009,16.616
6/1/2009,16.212
7/1/2009,16.814
8/1/2009,16.773
9/1/2009,16.289
10/1/2009,16.479
11/1/2009,16.841
12/1/2009,17.912
1/1/2010,17.852
2/1/2010,15.872
3/1/2010,17.801
4/1/2010,16.99
5/1/2010,17.839
6/1/2010,17.219
7/1/2010,17.479
8/1/2010,17.706
9/1/2010,17.11
10/1/2010,16.975
11/1/2010,17.108
12/1/2010,18.027
1/1/2011,18.48
2/1/2011,16.676
3/1/2011,18.388
4/1/2011,17.258
5/1/2011,18.194
6/1/2011,17.02
7/1/2011,17.723
8/1/2011,17.777
9/1/2011,17.127
10/1/2011,17.836
11/1/2011,17.57
12/1/2011,18.261
1/1/2012,17.4
2/1/2012,16.387
3/1/2012,17.608
4/1/2012,17.084
5/1/2012,17.787
6/1/2012,17.361
7/1/2012,17.946
8/1/2012,17.786
9/1/2012,17.576
10/1/2012,18.027
11/1/2012,18.023
12/1/2012,18.608
1/1/2013,18.578
2/1/2013,16.666
3/1/2013,18.543
4/1/2013,17.376
5/1/2013,17.87
6/1/2013,17.415
7/1/2013,18.148
8/1/2013,18.011
9/1/2013,17.616
10/1/2013,18.402
11/1/2013,16.959
12/1/2013,18.423
1/1/2014,18.279
2/1/2014,16.342
3/1/2014,18.114
4/1/2014,17.711
5/1/2014,18.064
6/1/2014,17.519
7/1/2014,17.942
8/1/2014,18.034
9/1/2014,17.654
10/1/2014,18.185
11/1/2014,18.176
12/1/2014,18.469
1/1/2015,18.085
2/1/2015,16.614
3/1/2015,18.384
4/1/2015,17.077
5/1/2015,18.348
6/1/2015,17.349
7/1/2015,18.036
8/1/2015,17.919
9/1/2015,16.429
10/1/2015,17.722
11/1/2015,17.647
12/1/2015,18.225
1/1/2016,19.091
2/1/2016,17.817
3/1/2016,18.987
4/1/2016,17.688
5/1/2016,19.133
6/1/2016,17.913
7/1/2016,18.65
8/1/2016,18.831
9/1/2016,18.723
10/1/2016,19.255
11/1/2016,19.245
12/1/2016,20.475
1/1/2017,19.749
2/1/2017,17.632
3/1/2017,19.676
4/1/2017,19.221
5/1/2017,18.644
6/1/2017,18.14
7/1/2017,19.407
