Month,WindConsump.TrillBTU.
1/1/2001,4.022
2/1/2001,4.456
3/1/2001,5.498
4/1/2001,7.075
5/1/2001,6.562
6/1/2001,6.919
7/1/2001,6.561
8/1/2001,5.964
9/1/2001,5.066
10/1/2001,6.27
11/1/2001,4.861
12/1/2001,6.362
1/1/2002,8.254
2/1/2002,7.263
3/1/2002,8.668
4/1/2002,10.421
5/1/2002,10.963
6/1/2002,11.458
7/1/2002,9.059
8/1/2002,9.936
9/1/2002,7.486
10/1/2002,7.471
11/1/2002,6.673
12/1/2002,7.683
1/1/2003,6.402
2/1/2003,7.547
3/1/2003,10.491
4/1/2003,11.064
5/1/2003,10.19
6/1/2003,10.602
7/1/2003,9.653
8/1/2003,8.256
9/1/2003,9.062
10/1/2003,9.084
11/1/2003,9.735
12/1/2003,11.187
1/1/2004,10.01
2/1/2004,10.232
3/1/2004,12.933
4/1/2004,12.969
5/1/2004,17.044
6/1/2004,13.994
7/1/2004,11.662
8/1/2004,10.524
9/1/2004,10.914
10/1/2004,10.305
11/1/2004,9.337
12/1/2004,11.739
1/1/2005,11.315
2/1/2005,9.664
3/1/2005,15.605
4/1/2005,16.973
5/1/2005,17.463
6/1/2005,17.967
7/1/2005,14.208
8/1/2005,11.379
9/1/2005,14.682
10/1/2005,14.46
11/1/2005,16.095
12/1/2005,18.276
1/1/2006,23.633
2/1/2006,19.064
3/1/2006,23.395
4/1/2006,24.517
5/1/2006,24.388
6/1/2006,20.351
7/1/2006,19.392
8/1/2006,16.418
9/1/2006,18.639
10/1/2006,24.223
11/1/2006,25.199
12/1/2006,24.517
1/1/2007,24.239
2/1/2007,24.906
3/1/2007,30.117
4/1/2007,31.349
5/1/2007,29.181
6/1/2007,25.9
7/1/2007,21.333
8/1/2007,26.681
9/1/2007,28.335
10/1/2007,33.374
11/1/2007,30.591
12/1/2007,34.497
1/1/2008,42.108
2/1/2008,37.955
3/1/2008,47.122
4/1/2008,51.49
5/1/2008,52.623
6/1/2008,50.653
7/1/2008,39.499
8/1/2008,32.167
9/1/2008,30.66
10/1/2008,46.87
11/1/2008,49.207
12/1/2008,65.193
1/1/2009,58.08
2/1/2009,57.117
3/1/2009,69.287
4/1/2009,72.787
5/1/2009,61.117
6/1/2009,54.65
7/1/2009,48.36
8/1/2009,53.333
9/1/2009,45.391
10/1/2009,66.501
11/1/2009,67.102
12/1/2009,67.403
1/1/2010,66.871
2/1/2010,52.993
3/1/2010,83.795
4/1/2010,95.262
5/1/2010,84.853
6/1/2010,78.526
7/1/2010,65.598
8/1/2010,65.227
9/1/2010,69.321
10/1/2010,77.5
11/1/2010,95.098
12/1/2010,88.383
1/1/2011,83.077
2/1/2011,101.547
3/1/2011,102.452
4/1/2011,120.689
5/1/2011,114.378
6/1/2011,106.731
7/1/2011,72.76
8/1/2011,72.613
9/1/2011,66.739
10/1/2011,102.265
11/1/2011,120.853
12/1/2011,103.532
1/1/2012,129.726
2/1/2012,105.171
3/1/2012,133.476
4/1/2012,120.941
5/1/2012,119.336
6/1/2012,113.928
7/1/2012,83.946
8/1/2012,80.59
9/1/2012,83.642
10/1/2012,120.241
11/1/2012,110.848
12/1/2012,138.215
1/1/2013,140.62
2/1/2013,134.295
3/1/2013,150.325
4/1/2013,166.741
5/1/2013,154.933
6/1/2013,131.171
7/1/2013,105.844
8/1/2013,91.917
9/1/2013,111.382
10/1/2013,130.092
11/1/2013,150.779
12/1/2013,133.26
1/1/2014,170.336
2/1/2014,133.222
3/1/2014,168.668
4/1/2014,177.224
5/1/2014,148.369
6/1/2014,150.247
7/1/2014,115.902
8/1/2014,96.722
9/1/2014,109.553
10/1/2014,137.97
11/1/2014,179.424
12/1/2014,139.904
1/1/2015,141.296
2/1/2015,139.054
3/1/2015,142.655
4/1/2015,166.504
5/1/2015,159.833
6/1/2015,125.073
7/1/2015,127.442
8/1/2015,121.893
9/1/2015,130.201
10/1/2015,152.646
11/1/2015,183.414
12/1/2015,187.297
1/1/2016,172.694
2/1/2016,188.277
3/1/2016,204.825
4/1/2016,193.321
5/1/2016,175.155
6/1/2016,152.071
7/1/2016,163.964
8/1/2016,126.371
9/1/2016,153.115
10/1/2016,189.925
11/1/2016,180.25
12/1/2016,214.253
1/1/2017,189.638
2/1/2017,202.144
3/1/2017,238.556
4/1/2017,236.731
5/1/2017,208.06
6/1/2017,181.058
7/1/2017,146.41
