,NP15,SP15,PVP,PG&E,SCCG,SCEB,HenryHub,NatGasFut1
01-01-2014,0,0,0,0,0,0,0,0
02-01-2014,0,0,47.95,0,0,0,4.32,4.321
03-01-2014,54.81,0,43.44,0,0,0,4.39,4.304
04-01-2014,49.25,0,41.68,5.01,4.76,4.58,4.35,3.13
05-01-2014,62.06,60.84,43.05,5.27,5.08,4.93,4.35,3.13
06-01-2014,0,0,0,0,0,0,4.5,4.306
07-01-2014,60.92,59.75,57.38,5.03,4.94,4.81,4.58,4.299
08-01-2014,0,0,0,4.49,4.48,4.33,4.36,4.216
09-01-2014,0,0,0,0,0,0,4.15,4.005
10-01-2014,49.16,51.11,40.83,4.58,4.45,4.26,3.95,4.053
11-01-2014,0,41,33.77,0,0,0,3.13,3.13
12-01-2014,0,0,0,4.66,4.59,4.42,3.13,3.13
13-01-2014,0,0,37.52,0,0,0,4.19,4.274
14-01-2014,47.38,0,39.07,0,0,0,4.36,4.369
15-01-2014,46.88,0,38.05,0,0,0,4.45,4.325
16-01-2014,0,0,0,0,0,0,4.55,4.382
17-01-2014,47.54,0,39.85,0,0,0,4.39,4.326
18-01-2014,0,0,38.9,0,0,0,3.13,3.13
19-01-2014,0,0,0,0,0,0,3.13,3.13
20-01-2014,0,0,0,0,0,0,3.13,4.326
21-01-2014,0,0,38.95,0,0,0,4.61,4.431
22-01-2014,50.44,0,37.26,0,0,0,4.92,4.689
23-01-2014,52.5,0,38.25,0,0,0,5.64,4.73
24-01-2014,0,0,0,0,0,0,5.17,5.182
25-01-2014,51.98,0,39.5,0,0,0,3.13,3.13
26-01-2014,0,0,0,0,0,0,3.13,3.13
27-01-2014,0,0,44.27,0,0,0,5.66,4.847
28-01-2014,0,0,46.08,0,0,0,5.25,5.033
29-01-2014,50.08,0,42.34,0,0,0,5.23,5.557
30-01-2014,0,0,0,0,0,0,5.27,5.011
31-01-2014,51,0,42.29,0,0,0,5.04,4.943
01-02-2014,0,0,0,0,0,0,3.13,3.13
02-02-2014,0,0,0,0,0,0,3.13,3.13
03-02-2014,0,0,0,0,0,0,5.04,4.905
04-02-2014,48.29,0,39.86,4.98,4.7,4.55,5.78,5.375
05-02-2014,0,0,0,5.3,5.12,4.95,8.12,5.03
06-02-2014,0,52.09,44.18,5,4.8,4.62,6.9,4.931
07-02-2014,0,0,0,5.03,4.96,4.81,5.92,4.775
08-02-2014,58.1,54.17,47.26,0,0,0,3.13,3.13
09-02-2014,0,51.8,45.46,4.55,4.35,4.18,3.13,3.13
10-02-2014,50.5,54.04,40.87,4.58,4.42,4.24,8.15,4.579
11-02-2014,0,0,0,0,0,0,7.75,4.824
12-02-2014,50,50.55,33.65,4.27,4.26,4.02,5.96,4.822
13-02-2014,0,0,0,0,0,0,5.34,5.223
14-02-2014,58.95,0,50.62,0,0,0,5.54,5.214
15-02-2014,51.52,0,45.67,0,0,0,3.13,3.13
16-02-2014,0,0,0,0,0,0,3.13,3.13
17-02-2014,0,0,0,0,0,0,3.13,5.214
18-02-2014,57,0,49.08,0,0,0,5.8,5.551
19-02-2014,55.75,0,46.01,0,0,0,6,6.149
20-02-2014,56.62,0,45.88,0,0,0,5.96,6.064
21-02-2014,0,0,0,0,0,0,6.24,6.135
22-02-2014,60.69,0,47.56,0,0,0,3.13,3.13
23-02-2014,0,0,0,0,0,0,3.13,3.13
24-02-2014,73.22,0,56.83,0,0,0,6.08,5.445
25-02-2014,73.72,0,61.77,0,0,0,5.21,5.096
26-02-2014,57.63,0,46.01,0,0,0,4.81,4.855
27-02-2014,0,0,0,0,0,0,4.61,4.511
28-02-2014,56.38,0,43.23,0,0,0,4.8,4.609
01-03-2014,0,0,0,0,0,0,3.13,3.13
02-03-2014,57,0,48.18,0,0,0,3.13,3.13
03-03-2014,61.13,0,47.38,0,0,0,7.09,4.492
04-03-2014,48.99,0,39.26,4.95,4.71,4.51,7.98,4.667
05-03-2014,53.29,50.51,41.39,0,0,0,6.46,4.523
06-03-2014,0,51.3,44.14,5.12,5,4.85,4.89,4.662
07-03-2014,56,53.85,49.96,5,4.93,4.77,4.78,4.618
08-03-2014,0,0,0,0,0,0,3.13,3.13
09-03-2014,48.43,49.12,41.29,4.47,4.36,4.2,3.13,3.13
10-03-2014,0,0,0,4.45,4.36,4.17,4.67,4.651
11-03-2014,0,48.3,34.94,4.26,3.92,3.72,4.67,4.605
12-03-2014,50.5,50,35.55,4.17,4.15,4,4.72,4.49
13-03-2014,48,0,38.99,0,0,0,4.41,4.383
14-03-2014,0,0,0,0,0,0,4.4,4.425
15-03-2014,45.95,0,37.9,0,0,0,3.13,3.13
16-03-2014,0,0,0,0,0,0,3.13,3.13
17-03-2014,45.59,0,39.35,0,0,0,4.57,4.536
18-03-2014,51.78,0,40.77,5.03,4.83,4.65,4.42,4.456
19-03-2014,48,0,40.39,4.9,4.75,4.58,4.43,4.484
20-03-2014,50,0,41.79,4.89,4.81,4.68,4.39,4.369
21-03-2014,0,0,0,4.88,4.83,4.6,4.33,4.313
22-03-2014,48.88,0,39.46,0,0,0,3.13,3.13
23-03-2014,0,0,0,0,0,0,3.13,3.13
24-03-2014,50,0,39.27,4.82,4.85,4.62,4.42,4.276
25-03-2014,49.56,0,37.83,4.86,4.9,4.73,4.53,4.411
26-03-2014,49.26,0,40.14,5.05,4.97,4.83,4.44,4.402
27-03-2014,47.7,0,40.46,4.94,4.89,4.73,4.39,4.584
28-03-2014,0,0,0,4.92,4.79,4.62,4.5,4.485
29-03-2014,46.65,0,39.93,0,0,0,3.13,3.13
30-03-2014,0,0,0,0,0,0,3.13,3.13
31-03-2014,50.8,0,41.8,4.98,4.8,4.62,4.48,4.371
01-04-2014,0,0,38.95,0,0,0,4.39,4.276
02-04-2014,0,0,50.93,0,0,0,4.39,4.364
03-04-2014,74,0,64.73,0,0,0,4.51,4.47
04-04-2014,0,0,0,5.03,4.79,4.64,4.49,4.439
05-04-2014,0,0,0,0,0,0,3.13,3.13
06-04-2014,51.98,54.53,46.27,5.21,5.13,4.98,3.13,3.13
07-04-2014,0,0,0,0,0,0,4.58,4.476
08-04-2014,0,56.28,47.5,4.5,4.46,4.3,4.57,4.534
09-04-2014,49.98,49.23,40.22,4.38,4.33,4.17,4.67,4.586
10-04-2014,51.01,54.3,40.16,0,0,0,4.67,4.655
