Average retail price of electricity monthly
https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=000000000004&endsec=vg&freq=M&start=200101&end=201708&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
20:31:42 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,California : all sectors cents per kilowatthour
Aug 2017,17.6
Jul 2017,17.53
Jun 2017,17.55
May 2017,15.46
Apr 2017,13.12
Mar 2017,15.39
Feb 2017,15.3
Jan 2017,15.12
Dec 2016,14.88
Nov 2016,14.99
Oct 2016,14.18
Sep 2016,16.68
Aug 2016,17.15
Jul 2016,16.93
Jun 2016,16.24
May 2016,14.94
Apr 2016,12.67
Mar 2016,14.34
Feb 2016,14.53
Jan 2016,14.74
Dec 2015,14.41
Nov 2015,15.03
Oct 2015,15.62
Sep 2015,17.36
Aug 2015,17.19
Jul 2015,17.31
Jun 2015,16.12
May 2015,14.76
Apr 2015,12.64
Mar 2015,14.22
Feb 2015,14.3
Jan 2015,14.55
Dec 2014,14.46
Nov 2014,15.16
Oct 2014,15.36
Sep 2014,17.3
Aug 2014,17.25
Jul 2014,17.05
Jun 2014,15.99
May 2014,14.47
Apr 2014,11.74
Mar 2014,13.59
Feb 2014,13.65
Jan 2014,13.86
Dec 2013,13.23
Nov 2013,14.02
Oct 2013,14.64
Sep 2013,15.66
Aug 2013,15.66
Jul 2013,15.78
Jun 2013,15.84
May 2013,13.8
Apr 2013,12.98
Mar 2013,12.84
Feb 2013,12.98
Jan 2013,13.03
Dec 2012,12.67
Nov 2012,12.88
Oct 2012,13.29
Sep 2012,15.51
Aug 2012,15.2
Jul 2012,14.26
Jun 2012,14.67
May 2012,12.87
Apr 2012,12.37
Mar 2012,12.31
Feb 2012,12.46
Jan 2012,12.74
Dec 2011,12.03
Nov 2011,12.52
Oct 2011,13.24
Sep 2011,13.97
Aug 2011,14.23
Jul 2011,14.64
Jun 2011,13.96
May 2011,12.64
Apr 2011,12.09
Mar 2011,11.91
Feb 2011,12.21
Jan 2011,12.4
Dec 2010,12.17
Nov 2010,12.39
Oct 2010,13.09
Sep 2010,14.32
Aug 2010,14.28
Jul 2010,14.39
Jun 2010,13.91
May 2010,12.66
Apr 2010,11.79
Mar 2010,12.18
Feb 2010,11.83
Jan 2010,12.29
Dec 2009,12.21
Nov 2009,11.36
Oct 2009,13.23
Sep 2009,14.72
Aug 2009,14.91
Jul 2009,15
Jun 2009,14.13
May 2009,13.16
Apr 2009,12.17
Mar 2009,12.19
Feb 2009,12.26
Jan 2009,12.33
Dec 2008,11.64
Nov 2008,12.48
Oct 2008,12.47
Sep 2008,13.32
Aug 2008,14.07
Jul 2008,13.62
Jun 2008,13.67
May 2008,12.01
Apr 2008,11.23
Mar 2008,11.46
Feb 2008,11.55
Jan 2008,11.55
Dec 2007,11.97
Nov 2007,12.29
Oct 2007,12.61
Sep 2007,13.85
Aug 2007,13.99
Jul 2007,14.08
Jun 2007,13.66
May 2007,12.24
Apr 2007,11.74
Mar 2007,11.89
Feb 2007,11.98
Jan 2007,12.42
Dec 2006,12.14
Nov 2006,12.38
Oct 2006,12.16
Sep 2006,13.85
Aug 2006,13.96
Jul 2006,15.17
Jun 2006,13.9
May 2006,12.31
Apr 2006,12.04
Mar 2006,11.69
Feb 2006,11.72
Jan 2006,11.25
Dec 2005,11.15
Nov 2005,11.14
Oct 2005,11.27
Sep 2005,12.29
Aug 2005,12.7
Jul 2005,13.16
Jun 2005,12.5
May 2005,11.19
Apr 2005,10.91
Mar 2005,10.44
Feb 2005,11.21
Jan 2005,10.85
Dec 2004,10.08
Nov 2004,11.26
Oct 2004,11.48
Sep 2004,11.97
Aug 2004,12.16
Jul 2004,12.39
Jun 2004,11.91
May 2004,10.86
Apr 2004,10.23
Mar 2004,10.98
Feb 2004,11.41
Jan 2004,11.08
Dec 2003,11.26
Nov 2003,11.65
Oct 2003,10.72
Sep 2003,10.24
Aug 2003,12.73
Jul 2003,13.84
Jun 2003,13
May 2003,12.15
Apr 2003,11.73
Mar 2003,10.62
Feb 2003,11.65
Jan 2003,11.52
Dec 2002,11.94
Nov 2002,12.09
Oct 2002,12.68
Sep 2002,12.24
Aug 2002,13.27
Jul 2002,13.77
Jun 2002,12.75
May 2002,12.11
Apr 2002,10.99
Mar 2002,11.35
Feb 2002,11.17
Jan 2002,11.32
Dec 2001,11.07
Nov 2001,11.16
Oct 2001,12.74
Sep 2001,13.13
Aug 2001,13.12
Jul 2001,13.47
Jun 2001,11.34
May 2001,9.82
Apr 2001,9.88
Mar 2001,9.89
Feb 2001,9.63
Jan 2001,8.71 
