Average retail price of electricity monthly
https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0,2&geo=vvvvvvvvvvvvo&freq=M&start=200101&end=201406&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
13:59:35 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,United States : all sectors cents per kilowatthour
Aug 2017,10.98
Jul 2017,11.02
Jun 2017,10.87
May 2017,10.37
Apr 2017,10.1
Mar 2017,10.34
Feb 2017,10.33
Jan 2017,10.15
Dec 2016,10.07
Nov 2016,10.11
Oct 2016,10.15
Sep 2016,10.69
Aug 2016,10.83
Jul 2016,10.71
Jun 2016,10.53
May 2016,10.07
Apr 2016,9.83
Mar 2016,10.02
Feb 2016,10
Jan 2016,9.96
Dec 2015,9.98
Nov 2015,10.05
Oct 2015,10.31
Sep 2015,10.79
Aug 2015,10.85
Jul 2015,10.95
Jun 2015,10.64
May 2015,10.21
Apr 2015,10.01
Mar 2015,10.29
Feb 2015,10.36
Jan 2015,10.18
Dec 2014,10.12
Nov 2014,10.13
Oct 2014,10.34
Sep 2014,10.83
Aug 2014,10.91
Jul 2014,11.03
Jun 2014,10.75
May 2014,10.21
Apr 2014,10
Mar 2014,10.28
Feb 2014,10.33
Jan 2014,10.12
Dec 2013,9.86
Nov 2013,9.79
Oct 2013,10.02
Sep 2013,10.43
Aug 2013,10.58
Jul 2013,10.69
Jun 2013,10.45
May 2013,9.92
Apr 2013,9.66
Mar 2013,9.71
Feb 2013,9.77
Jan 2013,9.64
Dec 2012,9.64
Nov 2012,9.58
Oct 2012,9.74
Sep 2012,10.26
Aug 2012,10.32
Jul 2012,10.3
Jun 2012,10.13
May 2012,9.64
Apr 2012,9.47
Mar 2012,9.52
Feb 2012,9.58
Jan 2012,9.61
Dec 2011,9.53
Nov 2011,9.58
Oct 2011,9.83
Sep 2011,10.29
Aug 2011,10.49
Jul 2011,10.47
Jun 2011,10.26
May 2011,9.78
Apr 2011,9.54
Mar 2011,9.55
Feb 2011,9.56
Jan 2011,9.48
Dec 2010,9.52
Nov 2010,9.55
Oct 2010,9.81
Sep 2010,10.17
Aug 2010,10.4
Jul 2010,10.46
Jun 2010,10.18
May 2010,9.72
Apr 2010,9.53
Mar 2010,9.48
Feb 2010,9.47
Jan 2010,9.28
Dec 2009,9.4
Nov 2009,9.34
Oct 2009,9.7
Sep 2009,10.09
Aug 2009,10.27
Jul 2009,10.28
Jun 2009,10.13
May 2009,9.77
Apr 2009,9.57
Mar 2009,9.64
Feb 2009,9.78
Jan 2009,9.68
Dec 2008,9.53
Nov 2008,9.67
Oct 2008,9.94
Sep 2008,10.27
Aug 2008,10.59
Jul 2008,10.65
Jun 2008,10.27
May 2008,9.47
Apr 2008,9.22
Mar 2008,9.03
Feb 2008,8.9
Jan 2008,8.92
Dec 2007,8.91
Nov 2007,8.94
Oct 2007,9.17
Sep 2007,9.43
Aug 2007,9.68
Jul 2007,9.64
Jun 2007,9.45
May 2007,8.96
Apr 2007,8.82
Mar 2007,8.8
Feb 2007,8.74
Jan 2007,8.71
Dec 2006,8.55
Nov 2006,8.63
Oct 2006,8.89
Sep 2006,9.32
Aug 2006,9.58
Jul 2006,9.55
Jun 2006,9.3
May 2006,8.71
Apr 2006,8.56
Mar 2006,8.44
Feb 2006,8.49
Jan 2006,8.31
Dec 2005,8.21
Nov 2005,8.21
Oct 2005,8.37
Sep 2005,8.68
Aug 2005,8.71
Jul 2005,8.6
Jun 2005,8.38
May 2005,7.84
Apr 2005,7.65
Mar 2005,7.59
Feb 2005,7.58
Jan 2005,7.47
Dec 2004,7.36
Nov 2004,7.42
Oct 2004,7.6
Sep 2004,7.97
Aug 2004,8.18
Jul 2004,8.11
Jun 2004,7.93
May 2004,7.46
Apr 2004,7.34
Mar 2004,7.3
Feb 2004,7.25
Jan 2004,7.22
Dec 2003,7.14
Nov 2003,7.19
Oct 2003,7.39
Sep 2003,7.61
Aug 2003,7.97
Jul 2003,8.02
Jun 2003,7.78
May 2003,7.42
Apr 2003,7.27
Mar 2003,7.16
Feb 2003,7.05
Jan 2003,7
Dec 2002,6.96
Nov 2002,6.94
Oct 2002,7.2
Sep 2002,7.36
Aug 2002,7.58
Jul 2002,7.68
Jun 2002,7.45
May 2002,7.11
Apr 2002,6.95
Mar 2002,6.95
Feb 2002,6.97
Jan 2002,6.95
Dec 2001,7.03
Nov 2001,7.02
Oct 2001,7.43
Sep 2001,7.62
Aug 2001,7.84
Jul 2001,7.88
Jun 2001,7.58
May 2001,7.17
Apr 2001,7.02
Mar 2001,7.01
Feb 2001,6.87
Jan 2001,6.75 
