California Energy Consumption Estimates 2015
https://www.eia.gov/state/?sid=CA
20:15:42 GMT-0800 (Pacific Standard Time)
Source: Energy Information Administration, State Energy Data System
Category,California Energy Consumption Estimates Trillion Btu
Coal,31
Natural Gas,2381.7
Motor Gasoline excl. Ethanol,1684.7
Distillate Fuel Oil,566.7
Jet Fuel,637.6
LPG,48.9
Residual Fuel,116.7
Other Petroleum,0
Nuclear Electric Power,193.5
Hydroelectric Power,128.7
Biomass,288.5
Other Renewables,438.6
Net Interstate Flow of Electricity,805.6 
