"Net generation for all fuels (utility-scale)"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=000000000004&sec=o3g&freq=M&start=200101&end=201708&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat Nov 18 2017 20:35:12 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017"
"Net generation for all fuels (utility-scale)","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN.ALL-US-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Contiguous",,"ELEC.GEN.ALL-PCC-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California","thousand megawatthours","ELEC.GEN.ALL-CA-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California : all sectors","thousand megawatthours","ELEC.GEN.ALL-CA-99.M",16619,14380,15849,15841,16875,18072,19795,20307,16853,15929,13419,14658,14591,12655,15789,13996,13934,16344,19633,18766,16987,14337,12643,14535,14215,13116,14465,13674,15700,16355,21007,19728,18013,16925,14342,15250,15285,14469,15867,15348,15719,16367,20383,19763,17635,15236,13775,14934,14708,13294,15261,15412,17042,17707,21940,21249,16956,15451,14454,16818,16364,14844,17102,15032,18167,20495,24664,21373,18971,17339,15719,16728,16424,14730,15312,15310,16149,18121,22219,22755,19003,17136,16580,17107,17534,14908,15010,17536,16445,17108,20665,22111,18514,16872,14857,16424,15066,14114,15518,15588,16833,16347,22092,21207,20480,16073,14812,16648,15804,14834,16223,15749,16012,16350,19938,20680,18493,17380,15757,16906,15483,14640,15765,15765,15249,16162,19471,20259,18730,16050,15526,17705,15905,14595,14993,14506,15954,16376,18443,21409,19230,17603,15153,15351,15458,13761,14470,14730,15987,17518,20221,19948,18906,16374,15510,17193,15716,14292,14121,15121,16423,16860,20039,19610,19258,17837,14436,15095,14247,12304,14347,14569,15435,18727,20371,20851,19034,17230,14126,15464,14894,13475,14330,14516,15586,19185,21332,21268,17942,16767,14303,15440,17502,14675,16102,15436,16879,18260,20980,21943
"California : electric power",,"ELEC.GEN.ALL-CA-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California : electric utility","thousand megawatthours","ELEC.GEN.ALL-CA-1.M",5187,4415,5119,5298,5819,7173,7289,7384,6098,5724,5024,5601,6292,5392,6573,6564,6230,6344,7559,7267,6620,5545,4546,5657,5737,5125,5841,6345,8341,7970,8645,8013,7008,6441,5795,6467,6421,5679,6443,6216,6563,7061,8176,7689,6550,5257,4143,4980,6073,5877,7281,7698,8877,9173,9417,8640,7016,6565,5518,7214,7923,6901,8464,7941,9579,10429,10857,9770,8184,7168,6335,6786,6965,6388,7273,7242,7329,7805,9339,8726,7516,6320,6562,5884,6699,5775,5928,7389,7715,7897,9247,9103,6887,5988,5029,5688,5467,5082,6758,7655,8708,8454,9558,8687,7847,5517,5226,6164,6366,6189,6709,7321,9224,9430,10342,9921,9005,7152,7095,8185,7498,6804,8826,9430,8848,9450,10638,10250,9208,8124,8005,8278,6909,5506,5971,6220,7320,6995,8039,8530,7725,6661,6197,6411,6625,4977,5524,6081,6898,7312,8464,8002,7072,6080,5360,6011,5521,4570,4599,5403,6336,6480,7888,7034,6841,5578,5056,5729,5637,5142,5676,5238,5532,6499,7329,7316,6763,5404,5023,5592,5721,5644,6626,5941,5931,7835,8700,8435,7427,6547,5604,6722,8441,7061,7553,7202,7732,7708,9362,9495
"California : independent power producers","thousand megawatthours","ELEC.GEN.ALL-CA-94.M",9798,8603,9301,9118,9509,9389,10806,11238,9182,8610,6955,7460,6733,5857,7626,5963,6175,8358,10279,9742,8709,7194,6629,7257,6783,6478,6977,5813,5690,6663,10491,9896,9255,8787,6945,7108,7242,7284,7917,7634,7580,7739,10486,10355,9432,8477,8077,8273,7159,6046,6529,6343,6662,6817,10569,10646,8272,7471,7602,8064,6906,6581,7208,5731,6995,8473,12103,9858,9215,8577,7941,8320,7998,6987,6702,6745,7379,8756,11075,12131,9812,9221,8485,9541,9254,7687,7687,8746,7375,7815,9826,11293,10056,9332,8366,9164,8120,7635,7397,6660,6820,6589,10813,10794,10918,9032,8115,8883,7845,7216,7950,6987,5419,5545,7972,9057,7888,8594,7200,7204,6428,6425,5603,5104,4989,5320,7189,8197,7753,6370,5952,7581,7477,7634,7591,6900,7177,7891,8812,11102,9861,9356,7464,7472,7292,7378,7463,7361,7677,8684,10058,10242,10160,8752,8570,9471,8688,8266,8126,8347,8706,8995,10487,10881,10727,10667,8024,7871,7217,5974,7374,8079,8603,10714,11413,11885,10673,10262,7656,8303,7646,6672,6531,7233,8174,9900,11122,11337,9135,8894,7350,7266,7647,6336,7241,6978,7791,9163,10227,11003
"California : all commercial","thousand megawatthours","ELEC.GEN.ALL-CA-96.M",163,145,136,155,155,138,170,179,156,155,134,138,152,135,160,142,150,172,191,199,183,175,128,172,165,148,161,162,173,171,201,195,182,180,162,172,154,151,142,127,157,157,180,182,172,172,157,167,175,155,167,167,179,201,226,231,189,161,143,157,164,147,155,151,185,179,198,207,177,188,175,192,170,155,157,160,166,178,204,214,187,184,180,176,188,171,171,168,143,153,177,193,180,181,183,191,184,169,173,166,157,164,214,216,214,199,187,201,197,176,193,179,169,164,204,218,202,214,198,186,231,221,206,192,280,233,243,272,268,238,230,265,246,233,226,222,217,223,240,285,269,263,244,227,233,202,223,197,207,230,253,258,245,231,228,254,249,216,220,221,219,214,255,253,260,251,213,233,238,198,226,214,223,253,270,277,270,267,222,231,244,179,195,212,246,241,256,250,223,223,219,232,241,213,231,216,240,234,234,240
"California : all industrial","thousand megawatthours","ELEC.GEN.ALL-CA-97.M",1470,1217,1293,1269,1390,1371,1530,1506,1416,1441,1306,1459,1414,1272,1430,1326,1379,1470,1604,1558,1475,1424,1340,1449,1530,1366,1486,1354,1496,1550,1671,1624,1567,1516,1440,1503,1468,1356,1366,1370,1419,1411,1542,1537,1481,1330,1398,1514,1301,1217,1284,1204,1323,1516,1729,1732,1479,1255,1191,1383,1370,1215,1275,1210,1408,1414,1505,1538,1396,1406,1268,1429,1292,1200,1180,1163,1275,1383,1600,1684,1489,1411,1354,1507,1392,1274,1223,1233,1211,1243,1416,1521,1390,1370,1278,1381,1295,1228,1190,1106,1149,1141,1508,1509,1500,1326,1283,1399,1395,1254,1371,1262,1200,1211,1420,1484,1398,1420,1264,1332,1326,1190,1129,1039,1132,1158,1401,1539,1502,1319,1338,1580,1272,1222,1206,1163,1240,1267,1352,1492,1375,1322,1248,1240,1308,1204,1261,1090,1205,1292,1445,1446,1429,1312,1351,1457,1258,1240,1176,1151,1162,1171,1409,1442,1431,1341,1142,1262,1154,989,1071,1037,1078,1260,1358,1374,1328,1298,1225,1338,1283,979,979,1129,1234,1209,1255,1246,1157,1102,1130,1220,1173,1066,1077,1041,1115,1155,1158,1206 
