"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"2015F","AK","CLOSB","8476","9021","7984","8884","7560","10504","9070","5648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","82","0","39","39","20","22","13","23","15","7","15","25","33","26","2","57","57","73","19","16","17","17"
"2015F","AK","CLRFB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","COICB","0","0","0","0","0","0","0","0","0","0","0","0","0","23659","22732","21505","17588","12394","14576","10037","8701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","DFISB","10356","11925","9496","9931","9200","11490","17880","20308","21219","10679","10203","11941","14025","5314","6183","9917","6477","4820","10688","10763","8184","11257","13011","13461","13463","17836","21486","20616","20675","18974","13075","13193","13477","12598","12029","10995","12555","15398","15467","18913","14019","18828","23181","24291","23144","23975"
"2015F","AK","DFRFB","847","560","459","564","751","840","764","910","449","422","190","53","71","63","120","60","292","141","238","52","49","71","96","134","102","201","237","235","243","198","114","121","124","174","128","130","137","166","190","120","167","280","227","81","52","63"
"2015F","AK","EMLCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","ESISB","324","338","395","389","390","1555","1587","1844","1968","1383","2371","3177","3445","3776","1077","1332","1414","1520","1656","1449","1473","1497","1628","1612","1648","1759","1904","2472","2668","2748","3390","3507","3491","3565","3623","3727","4011","4454","4329","4231","4279","4294","4453","3965","4196","4393"
"2015F","AK","ESRFB","21","23","28","32","32","100","134","170","144","105","212","224","243","267","81","90","177","253","192","87","94","93","93","98","97","106","89","107","124","131","147","176","220","201","219","217","230","267","258","244","238","246","259","607","444","218"
"2015F","AK","GECCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","20","20","20","20","20","20","20","20","20","36","36","36","36","39","39","41","38","35","71","74","74","88","85","85","85","85"
"2015F","AK","GEICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","16","16","16","16","16","16","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","GERCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","15","15","15","15","15","15","15","15","15","50","50","50","50","51","49","49","50","52","59","77","79","126","101","101","101","101"
"2015F","AK","HYCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","HYICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","LGISB","195","217","193","175","215","341","662","949","972","251","336","285","366","205","194","246","205","218","185","99","65","35","27","17","145","191","22","544","585","47","0","18","148","87","86","0","51","24","24","121","159","120","44","42","31","35"
"2015F","AK","LGRFB","29","46","112","56","60","134","181","264","302","51","96","87","91","78","61","77","86","68","73","38","25","26","23","17","106","113","9","95","142","9","0","6","19","35","33","22","37","34","9","28","23","7","4","0","0","0"
"2015F","AK","LOTCB","14853","17106","19249","20766","22555","25016","27830","30224","30545","34289","35406","35121","36520","36568","37551","39297","39425","34979","35371","37962","39416","35565","32535","36315","36875","37941","38686","40040","39264","37575","42687","46054","46648","45481","46947","47574","48562","45236","44593","43130","43464","44688","45328","37387","40597","40414"
"2015F","AK","NGISB","12013","7727","8072","9849","9346","16678","19957","38720","61406","75740","50378","41951","54467","49766","49228","63941","43556","48435","45290","34772","45700","50182","55986","50908","39034","40366","42989","45233","44269","41351","37531","31074","26260","4713","14898","18097","206","0","0","0","0","0","0","1087","1104","1502"
"2015F","AK","NGLPB","4772","8501","16133","15390","14469","17926","16047","17418","15876","12137","30320","15305","94147","97965","111229","64533","73384","117781","154248","191435","183379","223616","235195","236152","238399","294623","292603","271227","281516","265459","276448","274302","286496","301653","282596","304379","258322","270161","253685","259862","250453","246987","254728","256063","256404","264303"
"2015F","AK","NGPZB","17393","17296","8826","172","111","94","151","261","187","879","129","272","254","256","5930","5178","6011","2129","1968","1868","1616","2602","2870","2840","3027","2440","1990","4936","5557","7249","7564","5123","4378","4080","3813","2627","2839","2127","2059","2329","3300","3453","4021","545","328","616"
"2015F","AK","NGRFB","2804","2914","4306","4889","4695","5815","6855","10816","15638","16870","19556","11328","23084","24979","23342","12189","17463","19668","22770","24320","26989","25598","25117","24393","22433","25014","31801","28351","31582","32861","37127","36805","39667","36615","32018","34992","31402","33044","32028","32411","35171","36424","36702","2982","3748","3367"
"2015F","AK","P5RFB","2913","3251","4041","4475","4304","4246","4100","5644","7426","7957","8052","5251","5736","7422","7456","12841","11542","13586","16250","17767","18546","14129","20258","18380","20377","19323","24868","24647","24527","25467","23077","30740","29028","33004","32531","34304","35836","34723","26960","24427","26121","26391","22644","21364","17532","12916"
"2015F","AK","PCISB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","PCRFB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","RFISB","367","132","308","292","321","141","40","46","335","0","72","102","0","0","0","15004","26460","5601","0","0","497","1179","1281","1227","1387","1814","1045","375","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"2015F","AK","RFRFB","93","22","53","95","94","54","27","23","170","0","16","22","0","0","0","1198","3648","811","0","0","233","570","595","653","753","544","1388","496","0","0","0","111","0","0","0","0","0","0","5","23","24","0","0","0","0","0"
"2015F","AK","SFCCB","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","SFINB","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","SFRCB","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
