"County","Sector","2016","2015","2014","2013","2012","2011","2010","Total Usage"
"ALAMEDA","Non-Residential","    7891.374154","    7358.257518","    7423.167445","    7647.721291","    7602.158045","    7964.355184","    7706.530425","   53593.564062"
"ALAMEDA","Residential","    2923.696421","    2899.447383","    2895.510519","    2987.475123","    3000.871672","    3025.991830","    3022.056087","   20755.049035"
"ALAMEDA","Total","   10815.070574","   10257.704901","   10318.677963","   10635.196414","   10603.029717","   10990.347015","   10728.586512","   74348.613096"
"ALPINE","Non-Residential","       8.124741","       4.354396","       4.008389","       4.752038","       4.590161","       5.199864","       5.203784","      36.233373"
"ALPINE","Residential","       9.290913","      11.855504","      11.974975","      13.424431","       9.298178","       9.093424","      12.451971","      77.389396"
"ALPINE","Total","      17.415654","      16.209900","      15.983364","      18.176468","      13.888339","      14.293288","      17.655755","     113.622768"
"AMADOR","Non-Residential","     173.832142","     152.643553","     154.793331","     170.867308","     180.777774","     169.979564","     175.751430","    1178.645102"
"AMADOR","Residential","     135.804426","     132.981490","     134.806537","     139.516716","     141.039818","     140.241620","     139.982404","     964.373011"
"AMADOR","Total","     309.636568","     285.625043","     289.599868","     310.384025","     321.817592","     310.221184","     315.733834","    2143.018114"
"BUTTE","Non-Residential","     751.279120","     775.663534","     767.980205","     770.369012","     766.237002","     710.783067","     704.784703","    5247.096643"
"BUTTE","Residential","     725.718157","     716.501321","     721.286274","     730.982498","     739.536468","     726.302478","     719.403746","    5079.730942"
"BUTTE","Total","    1476.997277","    1492.164854","    1489.266479","    1501.351510","    1505.773470","    1437.085545","    1424.188449","   10326.827584"
"CALAVERAS","Non-Residential","     117.148249","     119.382018","     126.035900","     125.859211","     124.029168","     124.456822","     116.893714","     853.805082"
"CALAVERAS","Residential","     198.753712","     191.706441","     192.868999","     200.018332","     201.710548","     200.629843","     198.068763","    1383.756638"
"CALAVERAS","Total","     315.901961","     311.088459","     318.904899","     325.877542","     325.739716","     325.086665","     314.962477","    2237.561719"
"COLUSA","Non-Residential","     234.227066","     244.513369","     240.570148","     234.065914","     213.971475","     206.446520","     193.040212","    1566.834704"
"COLUSA","Residential","      64.983202","      64.437041","      64.870282","      64.849594","      65.669299","      64.398060","      63.431713","     452.639191"
"COLUSA","Total","     299.210268","     308.950409","     305.440430","     298.915508","     279.640774","     270.844580","     256.471925","    2019.473894"
"CONTRA COSTA","Non-Residential","    6879.153386","    6776.033980","    6864.617995","    6400.845658","    6324.077383","    6350.149214","    6380.867319","   45975.744935"
"CONTRA COSTA","Residential","    2764.394163","    2742.089922","    2740.249535","    2771.722517","    2770.143237","    2751.599891","    2733.989451","   19274.188716"
"CONTRA COSTA","Total","    9643.547549","    9518.123903","    9604.867530","    9172.568174","    9094.220620","    9101.749106","    9114.856771","   65249.933653"
"DEL NORTE","Non-Residential","      91.696703","      95.084433","      92.636764","      99.007282","      99.874810","     105.713202","     108.102033","     692.115227"
"DEL NORTE","Residential","     112.179574","     116.055484","     110.048401","     126.501570","     127.726173","     132.176036","     133.511470","     858.198708"
"DEL NORTE","Total","     203.876277","     211.139918","     202.685165","     225.508851","     227.600983","     237.889238","     241.613503","    1550.313935"
"EL DORADO","Non-Residential","     461.153555","     450.106887","     469.720159","     486.314489","     489.074753","     481.675131","     477.598069","    3315.643043"
"EL DORADO","Residential","     753.596763","     723.836262","     722.998767","     757.523468","     765.486160","     763.102125","     763.815767","    5250.359312"
"EL DORADO","Total","    1214.750317","    1173.943150","    1192.718925","    1243.837958","    1254.560912","    1244.777256","    1241.413836","    8566.002354"
"FRESNO","Non-Residential","    4965.297533","    5014.456283","    4981.371150","    4819.068849","    4675.436682","    4294.639416","    4357.089238","   33107.359151"
"FRESNO","Residential","    2663.553814","    2675.030512","    2704.400184","    2693.670785","    2706.850379","    2591.308520","    2546.317527","   18581.131721"
"FRESNO","Total","    7628.851347","    7689.486795","    7685.771334","    7512.739634","    7382.287061","    6885.947936","    6903.406765","   51688.490872"
"GLENN","Non-Residential","     276.414306","     294.464463","     291.473564","     257.911754","     213.366593","     203.172548","     206.570891","    1743.374119"
"GLENN","Residential","      91.076379","      90.436030","      91.396388","      92.600924","      93.406129","      91.589762","      91.116628","     641.622240"
"GLENN","Total","     367.490686","     384.900493","     382.869953","     350.512678","     306.772722","     294.762310","     297.687519","    2384.996361"
"HUMBOLDT","Non-Residential","     409.222021","     434.577007","     444.865908","     449.576935","     434.678030","     439.692417","     448.453286","    3061.065604"
"HUMBOLDT","Residential","     399.105809","     389.990132","     395.855367","     441.881333","     465.706650","     476.201780","     478.969039","    3047.710110"
"HUMBOLDT","Total","     808.327830","     824.567139","     840.721275","     891.458268","     900.384679","     915.894196","     927.422325","    6108.775712"
"IMPERIAL","Non-Residential","     875.813527","     868.013932","     895.608096","     911.037447","     923.602615","     915.178627","     894.055068","    6283.309312"
"IMPERIAL","Residential","     543.341597","     536.525151","     539.648944","     534.947372","     544.227415","     518.542842","     501.861949","    3719.095270"
"IMPERIAL","Total","    1419.155125","    1404.539083","    1435.257040","    1445.984819","    1467.830030","    1433.721469","    1395.917017","   10002.404583"
"INYO","Non-Residential","     169.038477","     150.699424","     154.011619","     172.953321","     179.548967","     179.868547","     172.217537","    1178.337892"
"INYO","Residential","      64.616840","      59.834642","      61.033607","      60.354511","      60.963913","      57.765555","      57.759072","     422.328140"
"INYO","Total","     233.655317","     210.534066","     215.045226","     233.307832","     240.512880","     237.634102","     229.976609","    1600.666032"
"KERN","Non-Residential","   14185.090371","   12810.260226","   11988.602914","   12748.151148","   14415.973932","   13811.587241","   12859.665860","   92819.331692"
