"Planning Area Description","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Streetlight","Total Usage"
"Burbank, Glendale, and Pasadena","2010","      11.104980","    1176.676523","     199.528162","     113.829081","      29.736716","     646.439982","      19.000000","    2196.315444"
"Burbank, Glendale, and Pasadena","2011","      14.313983","    1190.979531","     184.681265","     118.043257","      27.519438","     632.552085","      19.000000","    2187.089559"
"Burbank, Glendale, and Pasadena","2012","      12.834301","    1236.997125","     191.709158","     111.504996","      29.543420","     662.502757","      19.000000","    2264.091757"
"Burbank, Glendale, and Pasadena","2013","       8.680228","    1197.524470","     153.162404","     106.387819","      29.283348","     657.939895","      19.000000","    2171.978164"
"Burbank, Glendale, and Pasadena","2014","      10.271296","    1202.342019","     150.342676","     104.620457","      29.411592","     678.054509","      19.000000","    2194.042549"
"Burbank, Glendale, and Pasadena","2015","      11.960183","    1200.868118","     151.662820","     100.954563","      22.477463","     664.526005","      19.168541","    2171.617693"
"Burbank, Glendale, and Pasadena","2016","      12.359716","    1178.738641","     158.587087","     103.932374","      20.195491","     646.170183","      18.284932","    2138.268424"
"Dept. of Water Resources","2010","    7566.381781","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    7566.381781"
"Dept. of Water Resources","2011","    8949.462313","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    8949.462313"
"Dept. of Water Resources","2012","    7691.202607","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    7691.202607"
"Dept. of Water Resources","2013","    5922.748372","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    5922.748372"
"Dept. of Water Resources","2014","    2946.148329","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    2946.148329"
"Dept. of Water Resources","2015","    3589.012431","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    3589.012431"
"Dept. of Water Resources","2016","    6867.919382","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    6867.919382"
"Imperial Irrigation District","2010","     265.481005","    1118.750995","     180.499855","     186.030839","      66.048642","    1394.302562","      12.000000","    3223.113898"
"Imperial Irrigation District","2011","     281.008529","    1124.015965","     185.185112","     190.273149","      78.789892","    1432.989368","      12.000000","    3304.262015"
"Imperial Irrigation District","2012","     271.533775","    1148.573820","     186.730872","     190.926467","      79.029656","    1520.417649","      12.000000","    3409.212239"
"Imperial Irrigation District","2013","     267.029946","    1137.159565","     183.292866","     192.003976","      76.573435","    1509.533193","      12.000000","    3377.592981"
"Imperial Irrigation District","2014","     280.988836","    1192.154177","     183.922794","     145.767510","      78.910062","    1536.431820","      12.000000","    3430.175199"
"Imperial Irrigation District","2015","     275.544056","    1202.599113","     182.344725","     113.190232","      82.512594","    1537.370053","      12.000000","    3405.560773"
"Imperial Irrigation District","2016","     279.665386","    1211.802120","     179.813396","     123.747917","      82.993719","    1578.045677","      12.000000","    3468.068215"
"Los Angeles Department of Water","2010","      37.374030","   10637.599814","    1895.457618","    3225.527310","     200.044518","    8066.771290","     245.477084","   24308.251664"
