"County","Sector","2016","2015","2014","2013","2012","2011","2010","Total Usage"
"ALAMEDA","Non-Residential","     160.160148","     161.594634","     169.811343","     184.601324","     178.654819","     177.322542","     183.931871","    1216.076681"
"ALAMEDA","Residential","     200.672533","     193.358706","     191.247913","     238.277620","     232.297871","     245.329593","     238.481921","    1539.666157"
"ALAMEDA","Total","     360.832681","     354.953341","     361.059255","     422.878944","     410.952690","     422.652135","     422.413792","    2755.742838"
"AMADOR","Non-Residential","       3.624691","       3.104678","       3.362008","       6.327515","       6.368824","       6.644963","       6.928459","      36.361138"
"AMADOR","Residential","       1.921942","       1.885810","       1.796621","       2.174944","       2.153382","       2.388172","       2.223296","      14.544167"
"AMADOR","Total","       5.546633","       4.990488","       5.158630","       8.502459","       8.522206","       9.033135","       9.151755","      50.905306"
"BUTTE","Non-Residential","      17.151478","      16.522564","      17.742912","      18.422439","      18.342968","      18.177700","      17.967005","     124.327066"
"BUTTE","Residential","      25.329649","      23.905526","      24.205261","      28.889117","      28.607551","      30.859910","      29.561971","     191.358985"
"BUTTE","Total","      42.481127","      40.428090","      41.948173","      47.311556","      46.950519","      49.037610","      47.528976","     315.686051"
"CALAVERAS","Non-Residential","       0.509368","       0.552358","       0.463149","       0.541584","       0.476665","       0.519139","       0.473682","       3.535945"
"CALAVERAS","Residential","       0.391493","       0.436864","       0.356257","       0.498456","       0.464472","       0.499225","       0.434317","       3.081084"
"CALAVERAS","Total","       0.900861","       0.989222","       0.819407","       1.040040","       0.941137","       1.018364","       0.907999","       6.617030"
"COLUSA","Non-Residential","      34.370996","      36.019755","      28.606518","      26.516115","      24.799787","      22.966840","      23.780596","     197.060607"
"COLUSA","Residential","       2.008519","       1.907604","       1.877580","       2.268122","       2.250606","       2.448566","       2.391259","      15.152256"
"COLUSA","Total","      36.379515","      37.927359","      30.484098","      28.784237","      27.050393","      25.415406","      26.171855","     212.212863"
