"Planning Area Description","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Total Usage"
"Other","2010","       0.087388","      31.190567","       6.055789","       2.443296","       1.052816","      98.700778","     139.530634"
"Other","2011","       0.080871","      31.805211","       7.969793","       4.054247","       0.931737","     100.596766","     145.438625"
"Other","2012","       0.068371","      29.701974","       5.596741","       4.087780","       0.597062","      93.704399","     133.756327"
"Other","2013","       0.069101","      30.914988","       4.159814","       5.314247","       0.642820","      98.638885","     139.739855"
"Other","2014","       0.063290","      28.793589","       4.311247","       5.221635","       0.521685","      82.506610","     121.418056"
"Other","2015","       0.073748","      30.668159","       4.769924","       5.444151","       0.569690","      88.819140","     130.344812"
"Other","2016","       0.068607","      31.230938","       5.932329","       6.321091","       0.610493","      93.055953","     137.219411"
"Pacific Gas and Electric","2010","      34.776253","     889.535384","      49.907955","    1520.335011","      53.605526","    2063.096400","    4611.256529"
"Pacific Gas and Electric","2011","      37.228197","     921.483907","      53.328784","    1601.489482","      50.035146","    2137.439544","    4801.005060"
"Pacific Gas and Electric","2012","      37.101840","     901.226277","      56.008923","    1688.972392","      25.275367","    2012.898580","    4721.483379"
"Pacific Gas and Electric","2013","      39.038800","     913.309006","      55.307371","    1685.403477","      19.863995","    2056.572061","    4769.494710"
"Pacific Gas and Electric","2014","      34.136881","     833.183576","      52.463956","    1763.735564","      56.609402","    1675.320347","    4415.449726"
"Pacific Gas and Electric","2015","      34.508375","     837.959218","      53.018869","    1754.533136","      56.402588","    1699.569558","    4435.991744"
"Pacific Gas and Electric","2016","      36.153258","     868.553764","      57.060582","    1800.535570","      69.841257","    1754.633870","    4586.778301"
"San Diego Gas and Electric","2010","       4.013767","     163.459737","      22.466549","      24.673348","       3.700995","     337.881818","     556.196214"
"San Diego Gas and Electric","2011","       4.443822","     156.336539","      16.516725","      21.169590","       3.402721","     326.910505","     528.779902"
"San Diego Gas and Electric","2012","       4.831806","     155.822779","      16.894453","      22.155963","       3.782335","     311.143539","     514.630875"
"San Diego Gas and Electric","2013","       4.041873","     162.281849","      17.317531","      21.736174","       3.925650","     318.269246","     527.572323"
"San Diego Gas and Electric","2014","       2.425122","     153.116827","      15.007571","      20.460825","       3.433500","     256.548716","     450.992561"
"San Diego Gas and Electric","2015","       2.415126","     153.193840","      17.165002","      20.832651","       3.519448","     255.613587","     452.739654"
"San Diego Gas and Electric","2016","       3.134443","     158.536517","      17.631777","      21.347452","       3.149995","     268.964313","     472.764497"
"Southern California Gas","2010","      66.034806","     924.636796","      51.077801","    1585.364857","    2134.578175","    2585.774392","    7347.466827"
"Southern California Gas","2011","      62.889778","     936.237637","      50.946361","    1587.148094","    2177.060690","    2620.110865","    7434.393425"
"Southern California Gas","2012","      70.698426","     950.904418","      51.261893","    1591.335383","    2140.511757","    2436.453861","    7241.165738"
"Southern California Gas","2013","      72.990522","     946.800702","      50.900108","    1650.815810","    2520.314542","    2524.008088","    7765.829772"
"Southern California Gas","2014","      72.318852","     867.148684","      51.195107","    1668.351859","    2546.221192","    2053.094050","    7258.329744"
"Southern California Gas","2015","      73.495632","     876.597280","      52.458927","    1620.063409","    2528.181772","    2082.561874","    7233.358894"
"Southern California Gas","2016","      77.182324","     919.810811","      60.855818","    1726.789452","    2576.447376","    2180.856348","    7541.942129"
